time	temp
0,003	25,13
0,297	25,17
0,596	25,18
0,895	25,19
1,195	25,24
1,509	25,23
1,807	25,23
2,107	25,18
2,405	25,17
2,705	25,16
3,004	25,14
3,317	25,13
3,618	25,14
3,917	25,20
4,214	25,22
4,516	25,23
4,828	25,22
5,126	25,18
5,425	25,17
5,724	25,16
6,024	25,14
6,337	25,14
6,637	25,15
6,937	25,21
7,235	25,23
7,533	25,23
7,849	25,23
8,147	25,20
8,445	25,17
8,745	25,16
9,043	25,13
9,358	25,14
9,656	25,16
9,956	25,21
10,255	25,23
10,554	25,23
10,867	25,23
11,167	25,19
11,466	25,17
11,765	25,15
12,065	25,14
12,376	25,15
12,675	25,20
12,975	25,21
13,275	25,23
13,573	25,23
13,887	25,23
14,186	25,19
14,484	25,17
14,783	25,14
15,097	25,13
15,397	25,16
15,696	25,19
15,996	25,21
16,294	25,24
16,607	25,23
16,906	25,23
17,204	25,19
17,504	25,18
17,803	25,17
18,103	25,14
18,416	25,14
18,715	25,14
19,015	25,19
19,314	25,21
19,613	25,23
19,926	25,23
20,226	25,21
20,524	25,19
20,823	25,18
21,124	25,13
21,436	25,14
21,736	25,13
22,035	25,19
22,334	25,20
22,632	25,24
22,946	25,24
23,244	25,21
23,544	25,20
23,844	25,17
24,156	25,14
24,455	25,16
24,754	25,16
25,054	25,21
25,368	25,24
25,667	25,24
25,967	25,23
26,266	25,21
26,564	25,16
26,878	25,16
27,177	25,14
27,475	25,14
27,775	25,15
28,074	25,20
28,388	25,24
28,686	25,24
28,986	25,24
29,285	25,23
29,584	25,18
29,897	25,16
30,196	25,14
30,496	25,14
30,797	25,14
31,094	25,20
31,407	25,23
31,706	25,25
32,006	25,24
32,304	25,20
32,618	25,19
32,917	25,17
33,216	25,14
33,515	25,14
33,814	25,17
34,128	25,18
34,427	25,21
34,726	25,24
35,025	25,25
35,325	25,22
35,638	25,20
35,937	25,17
36,236	25,16
36,534	25,15
36,849	25,15
37,148	25,17
37,446	25,22
37,745	25,23
38,045	25,23
38,358	25,23
38,657	25,21
38,956	25,19
39,255	25,17
39,554	25,14
39,868	25,14
40,167	25,19
40,467	25,19
40,765	25,21
41,065	25,25
41,379	25,24
41,677	25,23
41,977	25,20
42,276	25,19
42,576	25,13
42,888	25,14
43,187	25,16
43,486	25,18
43,785	25,20
44,099	25,25
44,398	25,24
44,697	25,23
44,996	25,21
45,294	25,16
45,608	25,15
45,907	25,14
46,206	25,16
46,507	25,16
46,807	25,24
47,118	25,24
47,417	25,24
47,716	25,24
48,016	25,24
48,315	25,17
48,629	25,16
48,928	25,14
49,226	25,15
49,526	25,17
49,839	25,23
50,138	25,24
50,438	25,24
50,736	25,24
51,035	25,19
51,349	25,19
51,648	25,15
51,947	25,14
52,246	25,18
52,560	25,20
52,858	25,20
53,159	25,25
53,457	25,25
53,756	25,24
54,069	25,20
54,367	25,19
54,669	25,19
54,967	25,15
55,266	25,14
55,566	25,17
55,879	25,19
56,179	25,23
56,476	25,25
56,775	25,25
57,075	25,23
57,389	25,21
57,688	25,17
57,988	25,16
58,286	25,15
58,583	25,16
58,899	25,17
59,198	25,23
59,499	25,23
59,795	25,23
60,110	25,23
60,408	25,23
60,706	25,18
61,006	25,17
61,305	25,15
61,620	25,15
61,917	25,18
62,217	25,21
62,515	25,22
62,816	25,25
63,129	25,25
63,429	25,21
63,727	25,20
64,026	25,17
64,340	25,14
64,639	25,15
64,938	25,17
65,237	25,19
65,536	25,25
65,849	25,25
66,149	25,25
66,448	25,22
66,747	25,21
67,045	25,19
67,359	25,15
67,658	25,15
67,959	25,16
68,257	25,17
68,555	25,24
68,870	25,24
69,168	25,24
69,467	25,24
69,765	25,17
70,080	25,16
70,380	25,14
70,679	25,13
70,978	25,14
71,276	25,18
71,590	25,24
71,889	25,25
72,189	25,26
72,488	25,26
72,786	25,25
73,085	25,20
73,399	25,15
73,698	25,13
73,997	25,13
74,296	25,13
74,596	25,21
74,908	25,24
75,210	25,27
75,507	25,29
75,807	25,27
76,106	25,20
76,418	25,18
76,718	25,13
77,018	25,13
77,317	25,19
77,629	25,20
77,928	25,24
78,228	25,29
78,527	25,30
78,825	25,28
79,139	25,26
79,439	25,22
79,738	25,18
80,037	25,17
80,334	25,19
80,648	25,21
80,948	25,30
81,247	25,32
81,547	25,33
81,860	25,32
82,160	25,29
82,458	25,26
82,759	25,25
83,056	25,20
83,370	25,21
83,669	25,23
83,969	25,32
84,267	25,34
84,565	25,38
84,880	25,38
85,178	25,36
85,479	25,33
85,777	25,32
86,077	25,26
86,389	25,25
86,689	25,31
86,988	25,33
87,287	25,36
87,585	25,44
87,899	25,43
88,199	25,41
88,497	25,40
88,796	25,33
89,110	25,29
89,409	25,30
89,709	25,33
90,009	25,34
90,309	25,46
90,622	25,47
90,918	25,46
91,220	25,46
91,519	25,40
91,831	25,36
92,131	25,35
92,429	25,35
92,728	25,36
93,027	25,47
93,340	25,49
93,640	25,51
93,938	25,52
94,238	25,52
94,538	25,48
94,851	25,43
95,150	25,40
95,448	25,37
95,749	25,38
96,047	25,47
96,361	25,49
96,660	25,55
96,959	25,56
97,259	25,56
97,557	25,50
97,870	25,49
98,170	25,43
98,468	25,42
98,768	25,43
99,068	25,49
99,380	25,52
99,679	25,57
99,979	25,60
100,278	25,60
100,591	25,57
100,890	25,56
101,189	25,49
101,488	25,48
101,788	25,48
102,101	25,50
102,400	25,53
102,699	25,62
102,998	25,64
103,297	25,64
103,611	25,63
103,911	25,60
104,210	25,56
104,508	25,54
104,807	25,52
105,120	25,53
105,420	25,55
105,718	25,64
106,018	25,65
106,318	25,67
106,615	25,67
106,929	25,67
107,228	25,65
107,527	25,59
107,828	25,59
108,127	25,57
108,440	25,58
108,738	25,63
109,038	25,68
109,336	25,70
109,635	25,72
109,948	25,71
110,248	25,66
110,547	25,64
110,846	25,63
111,145	25,59
111,459	25,60
111,758	25,67
112,057	25,70
112,357	25,77
112,671	25,77
112,969	25,75
113,269	25,73
113,567	25,72
113,867	25,63
114,179	25,63
114,480	25,63
114,778	25,68
115,077	25,71
115,377	25,74
115,676	25,81
115,989	25,81
116,289	25,82
116,588	25,77
116,887	25,76
117,186	25,73
117,499	25,67
117,798	25,68
118,097	25,71
118,395	25,75
118,695	25,84
119,008	25,85
119,309	25,83
119,607	25,82
119,906	25,73
120,219	25,71
120,519	25,71
120,819	25,73
121,118	25,74
121,416	25,82
121,730	25,87
122,028	25,88
122,326	25,89
122,625	25,87
122,925	25,79
123,237	25,77
123,537	25,75
123,836	25,76
124,137	25,83
124,450	25,89
124,749	25,91
125,048	25,93
125,346	25,93
125,646	25,85
125,959	25,84
126,259	25,79
126,557	25,79
126,856	25,80
127,155	25,91
127,468	25,93
127,767	25,97
128,067	25,97
128,367	25,96
128,665	25,89
128,979	25,87
129,278	25,82
129,577	25,82
129,876	25,83
130,176	25,93
130,489	25,96
130,788	25,99
131,088	26,00
131,386	25,95
131,699	25,92
131,999	25,90
132,299	25,86
132,597	25,86
132,896	25,89
133,197	25,99
133,508	26,01
133,808	26,02
134,108	26,03
134,406	26,02
134,705	26,00
135,019	25,93
135,317	25,91
135,617	25,91
135,917	25,92
136,214	26,05
136,528	26,07
136,828	26,09
137,128	26,08
137,426	26,05
137,740	25,97
138,039	25,96
138,338	25,95
138,637	25,96
138,936	25,98
139,235	26,10
139,549	26,11
139,848	26,13
140,148	26,11
140,447	26,10
140,746	26,02
141,058	25,99
141,358	26,00
141,657	26,02
141,955	26,05
142,256	26,15
142,569	26,16
142,869	26,15
143,167	26,14
143,466	26,12
143,766	26,03
144,080	26,03
144,378	26,05
144,677	26,08
144,976	26,18
145,290	26,20
145,589	26,20
145,888	26,18
146,187	26,16
146,485	26,12
146,799	26,07
147,098	26,06
147,397	26,07
147,696	26,14
147,996	26,16
148,295	26,23
148,609	26,24
148,908	26,22
149,207	26,19
149,506	26,17
149,805	26,10
150,119	26,10
150,418	26,17
150,717	26,20
151,016	26,23
151,315	26,28
151,628	26,29
151,927	26,23
152,226	26,22
152,525	26,20
152,824	26,15
153,139	26,16
153,437	26,24
153,736	26,26
154,034	26,31
154,349	26,31
154,649	26,31
154,946	26,25
155,246	26,23
155,544	26,22
155,845	26,18
156,158	26,20
156,457	26,26
156,757	26,31
157,055	26,33
157,355	26,34
157,667	26,33
157,966	26,27
158,266	26,26
158,565	26,25
158,863	26,22
159,176	26,24
159,476	26,33
159,775	26,35
160,075	26,38
160,388	26,38
160,686	26,35
160,986	26,30
161,285	26,28
161,585	26,26
161,899	26,27
162,198	26,32
162,496	26,38
162,795	26,40
163,094	26,42
163,407	26,40
163,706	26,35
164,007	26,33
164,305	26,30
164,619	26,29
164,918	26,34
165,216	26,40
165,516	26,42
165,815	26,47
166,129	26,46
166,428	26,45
166,727	26,40
167,026	26,38
167,325	26,35
167,639	26,33
167,939	26,38
168,236	26,43
168,536	26,45
168,834	26,50
169,148	26,50
169,447	26,46
169,747	26,44
170,045	26,36
170,360	26,37
170,660	26,38
170,956	26,43
171,256	26,45
171,555	26,52
171,870	26,55
172,169	26,53
172,466	26,51
172,766	26,50
173,065	26,43
173,379	26,42
173,679	26,44
173,977	26,46
174,276	26,53
174,589	26,58
174,889	26,58
175,187	26,57
175,487	26,57
175,787	26,47
176,099	26,47
176,400	26,45
176,698	26,46
176,996	26,48
177,296	26,50
177,595	26,61
177,909	26,62
178,209	26,63
178,507	26,62
178,805	26,61
179,104	26,59
179,404	26,50
179,719	26,50
180,017	26,49
180,316	26,53
180,615	26,56
180,914	26,63
181,226	26,67
181,526	26,67
181,825	26,64
182,124	26,64
182,423	26,55
182,737	26,53
183,036	26,53
183,335	26,56
183,635	26,58
183,934	26,69
184,248	26,71
184,547	26,71
184,846	26,69
185,144	26,62
185,457	26,61
185,757	26,58
186,054	26,58
186,354	26,60
186,653	26,71
186,967	26,72
187,267	26,74
187,565	26,74
187,865	26,74
188,164	26,72
188,463	26,63
188,777	26,62
189,075	26,61
189,376	26,63
189,676	26,65
189,972	26,71
190,286	26,78
190,586	26,79
190,886	26,79
191,184	26,77
191,483	26,68
191,797	26,68
192,096	26,66
192,395	26,68
192,693	26,79
193,008	26,81
193,306	26,83
193,605	26,83
193,904	26,82
194,204	26,74
194,518	26,73
194,817	26,71
195,115	26,70
195,414	26,71
195,713	26,75
196,026	26,83
196,326	26,85
196,625	26,86
196,924	26,85
197,223	26,77
197,536	26,76
197,835	26,74
198,135	26,73
198,435	26,74
198,734	26,84
199,047	26,87
199,346	26,90
199,645	26,90
199,944	26,87
200,257	26,81
200,557	26,78
200,856	26,76
201,155	26,76
201,454	26,86
201,768	26,89
202,067	26,92
202,365	26,94
202,664	26,88
202,979	26,85
203,278	26,83
203,577	26,80
203,876	26,80
204,174	26,86
204,488	26,92
204,787	26,96
205,087	26,97
205,385	26,97
205,685	26,91
205,998	26,88
206,297	26,83
206,597	26,83
206,896	26,90
207,209	26,95
207,509	26,98
207,808	27,01
208,107	27,01
208,404	26,94
208,718	26,92
209,018	26,90
209,317	26,87
209,616	26,88
209,914	26,93
210,228	27,01
210,527	27,05
210,827	27,04
211,126	26,99
211,439	26,95
211,738	26,92
212,037	26,91
212,337	26,92
212,634	27,03
212,949	27,06
213,248	27,07
213,548	27,08
213,847	27,08
214,146	27,06
214,445	26,96
214,759	26,95
215,058	26,94
215,356	26,98
215,655	27,00
215,955	27,08
216,268	27,12
216,566	27,12
216,867	27,10
217,166	27,09
217,464	26,99
217,777	26,98
218,076	27,00
218,376	27,03
218,675	27,05
218,974	27,15
219,290	27,16
219,587	27,13
219,885	27,12
220,184	27,03
220,498	27,02
220,797	27,02
221,096	27,06
221,396	27,08
221,696	27,18
222,008	27,20
222,307	27,20
222,607	27,16
222,906	27,15
223,205	27,12
223,504	27,06
223,817	27,06
224,116	27,07
224,416	27,14
224,715	27,17
225,014	27,21
225,327	27,23
225,627	27,18
225,926	27,16
226,225	27,14
226,524	27,08
226,838	27,09
227,138	27,14
227,436	27,20
227,735	27,26
228,049	27,26
228,348	27,26
228,646	27,20
228,946	27,18
229,245	27,17
229,543	27,13
229,856	27,14
230,156	27,15
230,454	27,24
230,754	27,27
231,053	27,29
231,366	27,29
231,666	27,26
231,965	27,23
232,264	27,21
232,563	27,16
232,876	27,18
233,177	27,26
233,476	27,28
233,775	27,30
234,072	27,34
234,386	27,33
234,685	27,28
234,986	27,26
235,284	27,20
235,599	27,21
235,896	27,25
236,195	27,29
236,495	27,32
236,794	27,39
237,107	27,38
237,407	27,38
237,706	27,33
238,005	27,32
238,302	27,30
238,603	27,26
238,916	27,27
239,215	27,29
239,514	27,36
239,814	27,40
240,113	27,41
240,426	27,42
240,725	27,38
241,023	27,36
241,322	27,34
241,623	27,28
241,937	27,30
242,234	27,33
242,534	27,39
242,833	27,42
243,131	27,46
243,446	27,45
243,746	27,41
244,043	27,39
244,343	27,36
244,656	27,32
244,956	27,37
245,255	27,39
245,554	27,42
245,852	27,49
246,167	27,49
246,466	27,49
246,764	27,44
247,063	27,43
247,363	27,34
247,676	27,35
247,975	27,40
248,274	27,42
248,574	27,45
248,873	27,53
249,186	27,53
249,487	27,49
249,783	27,48
250,083	27,45
250,397	27,39
250,696	27,41
250,997	27,44
251,295	27,47
251,594	27,56
251,907	27,56
252,207	27,55
252,507	27,53
252,804	27,45
253,118	27,44
253,416	27,43
253,717	27,44
254,016	27,47
254,314	27,58
254,628	27,59
254,927	27,60
255,225	27,60
255,525	27,59
255,824	27,50
256,137	27,48
256,436	27,47
256,735	27,48
257,036	27,56
257,349	27,61
257,647	27,63
257,946	27,66
258,246	27,65
258,545	27,57
258,859	27,57
259,157	27,55
259,457	27,53
