time	temp
0,004	24,43
0,303	24,46
0,599	24,52
0,899	24,49
1,210	24,44
1,509	24,43
1,807	24,49
2,119	24,53
2,415	24,51
2,713	24,45
3,025	24,44
3,324	24,47
3,622	24,53
3,933	24,51
4,230	24,47
4,528	24,45
4,842	24,46
5,139	24,53
5,437	24,53
5,734	24,48
6,046	24,44
6,344	24,44
6,643	24,53
6,955	24,53
7,252	24,49
7,550	24,46
7,847	24,44
8,160	24,46
8,458	24,52
8,756	24,52
9,054	24,47
9,365	24,44
9,663	24,44
9,962	24,48
10,259	24,53
10,571	24,51
10,868	24,47
11,167	24,44
11,465	24,46
11,777	24,51
12,074	24,52
12,372	24,50
12,670	24,44
12,983	24,43
13,281	24,48
13,579	24,52
13,877	24,51
14,189	24,48
14,486	24,44
14,783	24,43
15,081	24,49
15,393	24,53
15,693	24,51
15,989	24,48
16,288	24,42
16,599	24,44
16,896	24,51
17,194	24,53
17,493	24,49
17,804	24,46
18,102	24,43
18,400	24,45
18,698	24,51
19,010	24,53
19,308	24,49
19,606	24,46
19,904	24,44
20,216	24,48
20,513	24,53
20,810	24,52
21,110	24,47
21,422	24,44
21,720	24,44
22,018	24,48
22,315	24,52
22,627	24,51
22,925	24,46
23,223	24,44
23,520	24,47
23,832	24,51
24,131	24,53
24,428	24,50
24,740	24,44
25,040	24,44
25,335	24,48
25,635	24,53
25,945	24,51
26,243	24,46
26,542	24,44
26,854	24,47
27,151	24,53
27,449	24,52
27,747	24,47
28,059	24,45
28,357	24,44
28,655	24,48
28,953	24,52
29,264	24,51
29,563	24,47
29,860	24,45
30,173	24,47
30,471	24,52
30,768	24,53
31,066	24,47
31,378	24,44
31,675	24,44
31,974	24,49
32,286	24,52
32,584	24,50
32,881	24,45
33,194	24,43
33,491	24,47
33,790	24,53
34,088	24,50
34,401	24,45
34,696	24,43
34,995	24,50
35,307	24,53
35,605	24,51
35,903	24,45
36,214	24,44
36,513	24,47
36,809	24,53
37,123	24,52
37,420	24,48
37,719	24,45
38,030	24,46
38,329	24,52
38,625	24,54
38,923	24,48
39,235	24,45
39,534	24,43
39,831	24,50
40,143	24,53
40,442	24,50
40,739	24,46
41,051	24,43
41,348	24,49
41,647	24,53
41,944	24,51
42,257	24,48
42,554	24,43
42,853	24,43
43,151	24,51
43,462	24,53
43,760	24,50
44,058	24,48
44,357	24,43
44,668	24,44
44,967	24,52
45,264	24,53
45,562	24,49
45,874	24,47
46,172	24,43
46,470	24,44
46,769	24,53
47,080	24,52
47,376	24,49
47,675	24,45
47,987	24,44
48,285	24,52
48,583	24,54
48,880	24,50
49,193	24,46
49,491	24,43
49,788	24,50
50,101	24,53
50,399	24,51
50,696	24,48
51,008	24,43
51,306	24,46
51,604	24,51
51,901	24,52
52,214	24,50
52,511	24,45
52,809	24,45
53,122	24,50
53,419	24,53
53,717	24,50
54,029	24,46
54,328	24,43
54,624	24,46
54,922	24,53
55,235	24,52
55,532	24,48
55,830	24,45
56,129	24,45
56,440	24,49
56,739	24,53
57,036	24,53
57,334	24,46
57,645	24,44
57,944	24,45
58,240	24,49
58,540	24,53
58,851	24,51
59,149	24,47
59,447	24,44
59,746	24,48
60,057	24,52
60,355	24,53
60,653	24,48
60,965	24,45
61,262	24,44
61,560	24,48
61,858	24,53
62,170	24,51
62,468	24,46
62,766	24,44
63,078	24,47
63,377	24,53
63,673	24,52
63,986	24,48
64,283	24,43
64,582	24,44
64,879	24,53
65,191	24,52
65,489	24,49
65,788	24,43
66,099	24,43
66,397	24,51
66,695	24,54
66,993	24,51
67,304	24,48
67,602	24,43
67,901	24,44
68,198	24,53
68,510	24,54
68,808	24,50
69,105	24,47
69,404	24,43
69,717	24,45
70,014	24,53
70,311	24,54
70,609	24,50
70,920	24,46
71,220	24,43
71,517	24,45
71,815	24,53
72,127	24,53
72,424	24,48
72,722	24,46
73,021	24,45
73,333	24,48
73,630	24,54
73,928	24,53
74,226	24,48
74,537	24,44
74,837	24,45
75,134	24,48
75,431	24,53
75,743	24,51
76,042	24,47
76,338	24,44
76,637	24,48
76,949	24,52
77,247	24,53
77,545	24,51
77,843	24,46
78,155	24,43
78,454	24,48
78,750	24,52
79,049	24,52
79,360	24,50
79,658	24,44
79,956	24,43
80,254	24,51
80,566	24,53
80,864	24,51
81,162	24,49
81,459	24,45
81,772	24,44
82,069	24,52
82,367	24,54
82,665	24,50
82,976	24,47
83,275	24,43
83,573	24,44
83,871	24,54
84,183	24,53
84,481	24,49
84,779	24,47
85,077	24,45
85,388	24,47
85,686	24,54
85,984	24,53
86,281	24,48
86,594	24,45
86,891	24,45
87,190	24,48
87,487	24,53
87,800	24,51
88,097	24,47
88,398	24,44
88,693	24,47
89,004	24,52
89,302	24,54
89,601	24,51
89,899	24,45
90,211	24,43
90,509	24,49
90,807	24,52
91,103	24,51
91,417	24,49
91,714	24,44
92,012	24,43
92,310	24,50
92,622	24,54
92,919	24,51
93,218	24,49
93,514	24,43
93,828	24,45
94,126	24,53
94,422	24,53
94,720	24,49
95,034	24,47
95,332	24,44
