time	temp
0,004	25,02
0,331	24,98
0,630	25,01
0,942	25,04
1,241	25,07
1,539	25,08
1,836	25,01
2,150	25,00
2,448	24,98
2,749	24,98
3,044	25,07
3,359	25,07
3,655	25,06
3,955	25,02
4,267	24,97
4,567	24,98
4,864	25,03
5,162	25,06
5,476	25,07
5,773	25,05
6,072	25,00
6,370	24,99
6,683	25,01
6,982	25,04
7,280	25,08
7,578	25,06
7,891	25,02
8,189	25,00
8,487	24,97
8,786	25,01
9,099	25,08
9,397	25,07
9,695	25,06
9,994	25,00
10,306	24,97
10,605	24,99
10,902	25,03
11,201	25,06
11,500	25,07
11,813	25,05
12,112	25,00
12,409	24,98
12,707	25,02
13,019	25,04
13,319	25,08
13,617	25,07
13,916	25,01
14,229	24,99
14,526	24,98
14,825	25,00
15,123	25,08
15,436	25,07
15,733	25,05
16,033	25,02
16,332	24,98
16,643	25,01
16,942	25,05
17,240	25,08
17,553	25,06
17,851	25,01
18,149	24,99
18,448	25,00
18,761	25,03
19,059	25,09
19,357	25,08
19,656	25,03
19,968	25,01
20,267	24,98
20,565	24,99
20,864	25,03
21,177	25,08
21,474	25,07
21,773	25,04
22,072	24,98
22,384	24,98
22,683	25,04
22,981	25,07
23,280	25,07
23,592	25,05
23,890	25,00
24,189	24,98
24,486	25,02
24,799	25,06
25,098	25,08
25,397	25,07
25,708	25,01
26,007	25,00
26,306	24,98
26,604	25,01
26,903	25,08
27,216	25,08
27,513	25,04
27,812	25,02
28,110	24,97
28,423	24,98
28,722	25,06
29,021	25,08
29,332	25,05
29,632	25,01
29,929	24,99
30,227	25,01
30,540	25,04
30,839	25,08
31,138	25,07
31,449	25,02
31,750	25,00
32,046	24,98
32,345	25,00
32,644	25,06
32,956	25,08
33,254	25,07
33,553	25,03
33,851	25,01
34,149	24,98
34,462	25,01
34,762	25,07
35,059	25,08
35,359	25,06
35,671	25,02
35,968	25,00
36,267	24,98
36,565	25,02
36,878	25,08
37,177	25,09
37,475	25,05
37,772	25,04
38,072	24,99
38,383	25,01
38,681	25,06
38,981	25,08
39,295	25,05
39,592	25,01
39,891	25,00
40,189	25,00
40,501	25,03
40,799	25,09
41,098	25,08
41,397	25,03
41,709	25,00
42,007	24,98
42,306	24,99
42,604	25,04
42,917	25,09
43,215	25,07
43,514	25,03
43,812	25,01
44,124	24,99
44,423	25,01
44,721	25,07
45,020	25,06
45,332	25,04
45,631	25,00
45,929	24,98
46,228	25,03
46,542	25,06
46,839	25,09
47,136	25,08
47,435	25,03
47,747	24,99
48,047	24,98
48,345	25,01
48,644	25,09
48,956	25,08
49,255	25,04
49,553	25,03
49,852	24,99
50,163	24,99
50,463	25,06
50,760	25,08
51,060	25,07
51,371	25,05
51,669	24,99
51,968	24,98
52,267	25,03
52,580	25,07
52,879	25,08
53,176	25,07
53,489	25,01
53,788	24,99
54,086	24,98
54,385	25,05
54,696	25,08
54,995	25,08
55,293	25,06
55,593	25,03
55,891	24,98
56,203	24,98
56,501	25,06
56,801	25,08
57,098	25,08
57,411	25,05
57,709	25,04
58,007	24,99
58,305	24,99
58,604	25,05
58,917	25,08
59,215	25,08
59,514	25,02
59,826	25,01
60,124	24,98
60,423	25,05
60,736	25,08
61,034	25,08
61,331	25,06
61,631	25,00
61,944	24,98
62,243	25,02
62,541	25,07
62,852	25,09
63,152	25,06
63,450	25,02
63,748	25,00
64,060	24,99
64,359	25,02
64,657	25,08
64,956	25,09
65,253	25,04
65,566	25,00
65,864	24,99
66,163	25,02
66,476	25,07
66,774	25,08
67,073	25,07
67,371	25,02
67,684	24,99
67,982	25,00
68,280	25,03
68,579	25,06
68,892	25,08
69,190	25,06
69,488	25,01
69,787	24,99
70,098	25,01
70,398	25,08
70,695	25,09
71,009	25,06
71,307	25,01
71,606	24,99
71,905	25,01
72,216	25,06
72,515	25,08
72,814	25,08
73,112	25,03
73,425	25,00
73,724	24,98
74,022	25,01
74,320	25,04
74,618	25,07
74,931	25,08
75,229	25,04
75,528	25,01
75,826	25,00
76,139	25,02
76,437	25,09
76,735	25,09
77,033	25,08
77,332	25,02
77,644	25,00
77,943	24,99
78,241	25,01
78,540	25,08
78,853	25,07
79,151	25,06
79,449	24,99
79,762	24,99
80,061	25,03
80,359	25,07
80,658	25,08
80,970	25,06
81,268	25,01
81,566	24,99
81,863	25,01
82,176	25,04
82,476	25,08
82,773	25,08
83,073	25,05
83,385	24,99
83,684	24,99
83,982	25,01
84,280	25,06
84,578	25,07
84,891	25,08
85,190	25,05
85,489	24,99
85,787	24,97
86,085	25,03
86,397	25,07
86,695	25,11
86,994	25,09
87,293	25,00
87,606	24,98
87,904	24,98
88,203	25,03
88,500	25,11
88,814	25,10
89,112	25,04
89,409	24,98
89,723	24,98
90,021	25,07
90,320	25,10
90,619	25,09
90,931	25,06
91,228	24,98
91,527	24,96
91,827	25,05
92,138	25,09
92,437	25,12
92,735	25,10
93,034	25,04
93,347	24,97
93,644	25,00
93,943	25,05
94,242	25,12
94,554	25,12
94,853	25,04
95,150	25,00
95,450	24,99
95,761	25,03
96,060	25,13
96,359	25,15
96,657	25,08
96,970	25,05
97,269	24,99
97,565	25,04
97,879	25,14
98,176	25,16
98,476	25,15
98,775	25,12
99,072	25,02
99,385	25,02
99,683	25,11
99,982	25,16
100,281	25,18
100,592	25,16
100,892	25,08
101,190	25,07
101,502	25,11
101,802	25,20
102,098	25,22
102,397	25,16
102,710	25,13
103,008	25,07
103,307	25,08
103,604	25,20
103,918	25,23
104,216	25,23
104,514	25,19
104,814	25,10
105,126	25,09
105,424	25,16
105,722	25,20
