t;v
-0,00375100;0,89938040
-0,00247100;0,63020720
-0,00119100;0,36133920
0,00008900;0,00305185
0,00136900;-0,17639700
0,00264900;-0,44526510
0,00392900;-0,80385760
0,00520900;-1,07272600
0,00648900;-1,34189900
0,00776900;-1,61076700
0,00904900;-1,87963500
0,01032900;-2,14880800
0,01160900;-2,41767600
0,01288900;-2,68685000
0,01416900;-2,95571800
0,01544900;-3,22458600
0,01672900;-3,40403500
0,01800900;-3,67290300
0,01928900;-3,94177100
0,02056900;-4,12122000
0,02184900;-4,39008800
0,02312900;-4,56953600
0,02440900;-4,83840500
0,02568900;-5,01785300
0,02696900;-5,19699700
0,02824900;-5,37644600
0,02952900;-5,55589500
0,03080900;-5,73503800
0,03208900;-5,91448700
0,03336900;-6,09363100
0,03464900;-6,27307900
0,03592900;-6,45222300
0,03720900;-6,54194800
0,03848900;-6,72139600
0,03976900;-6,81081600
0,04104900;-6,90054000
0,04232900;-6,99026400
0,04360900;-7,07998900
0,04488900;-7,16971300
0,04616900;-7,25913300
0,04744900;-7,25913300
0,04872900;-7,34885700
0,05000900;-7,43858100
0,05128900;-7,43858100
0,05256900;-7,43858100
0,05384900;-7,52830600
0,05512900;-7,43858100
0,05640900;-7,52830600
0,05768900;-7,43858100
0,05896900;-7,43858100
0,06024900;-7,43858100
0,06152900;-7,34885700
0,06280900;-7,25913300
0,06408900;-7,25913300
0,06536900;-7,16971300
0,06664900;-7,07998900
0,06792900;-6,99026400
0,06920900;-6,90054000
0,07048900;-6,81081600
0,07176900;-6,63167200
0,07304900;-6,54194800
0,07432900;-6,36280400
0,07560900;-6,27307900
0,07688900;-6,09363100
0,07816900;-5,91448700
0,07944900;-5,73503800
0,08072900;-5,55589500
0,08200900;-5,37644600
0,08328900;-5,19699700
0,08456900;-4,92812900
0,08584900;-4,83840500
0,08712900;-4,56953600
0,08840900;-4,39008800
0,08968900;-4,12122000
0,09096900;-3,94177100
0,09224900;-3,67290300
0,09352900;-3,40403500
0,09480900;-3,22458600
0,09608900;-2,95571800
0,09736900;-2,68685000
0,09864900;-2,41767600
0,09992900;-2,14880800
0,10120900;-1,96935900
0,10248900;-1,70049100
0,10376900;-1,43162300
0,10504900;-1,16245000
0,10632900;-0,89358200
0,10760900;-0,71413310
0,10888900;-0,35554060
0,11016900;-0,08667257
0,11144900;0,18219550
0,11272900;0,45106360
0,11400900;0,71993170
0,11528900;0,98910490
0,11656900;1,25797300
0,11784900;1,43711700
0,11912900;1,79601400
0,12040900;2,06488200
0,12168900;2,24402600
0,12296900;2,51319900
0,12424900;2,78206700
0,12552900;2,96151600
0,12680900;3,23038400
0,12808900;3,49925200
0,12936900;3,67870100
0,13064900;3,94756900
0,13192900;4,12701800
0,13320900;4,30616200
0,13448900;4,57533500
0,13576900;4,75447800
0,13704900;4,93392800
0,13832900;5,11307100
0,13960900;5,29252000
0,14088900;5,47196900
0,14216900;5,65111300
0,14344900;5,74083700
0,14472900;5,92028600
0,14600900;6,09942900
0,14728900;6,18915400
0,14856900;6,27887800
0,14984900;6,36829800
0,15112900;6,54774600
0,15240900;6,63747100
0,15368900;6,72719500
0,15496900;6,81661400
0,15624900;6,90633900
0,15752900;6,90633900
0,15880900;6,99606300
0,16008900;6,99606300
0,16136900;6,99606300
0,16264900;7,08578700
0,16392900;7,08578700
0,16520900;7,08578700
0,16648900;7,08578700
0,16776900;7,08578700
0,16904900;7,08578700
0,17032900;6,99606300
0,17160900;6,90633900
0,17288900;6,90633900
0,17416900;6,90633900
0,17544900;6,81661400
0,17672900;6,72719500
0,17800900;6,63747100
0,17928900;6,54774600
0,18056900;6,36829800
0,18184900;6,27887800
0,18312900;6,18915400
0,18440900;6,09942900
0,18568900;5,92028600
0,18696900;5,74083700
0,18824900;5,65111300
0,18952900;5,47196900
0,19080900;5,29252000
0,19208900;5,11307100
0,19336900;4,93392800
0,19464900;4,75447800
0,19592900;4,57533500
0,19720900;4,30616200
0,19848900;4,12701800
0,19976900;3,94756900
0,20104900;3,76842500
0,20232900;3,49925200
0,20360900;3,23038400
0,20488900;3,05124100
0,20616900;2,78206700
0,20744900;2,60292400
0,20872900;2,33375000
0,21000900;2,06488200
0,21128900;1,88543400
0,21256900;1,61656500
0,21384900;1,34769700
0,21512900;1,07852400
0,21640900;0,89938040
0,21768900;0,63020720
0,21896900;0,36133920
0,22024900;0,09277627
0,22152900;-0,17639700
0,22280900;-0,35554060
0,22408900;-0,62471390
0,22536900;-0,89358200
0,22664900;-1,16245000
0,22792900;-1,43162300
0,22920900;-1,61076700
0,23048900;-1,87963500
0,23176900;-2,14880800
0,23304900;-2,41767600
0,23432900;-2,59712500
0,23560900;-2,86599300
0,23688900;-3,04544200
0,23816900;-3,22458600
0,23944900;-3,49375900
0,24072900;-3,67290300
0,24200900;-3,85235100
0,24328900;-4,03149500
0,24456900;-4,30066800
0,24584900;-4,47981200
0,24712900;-4,65926100
0,24840900;-4,83840500
0,24968900;-5,01785300
0,25096900;-5,19699700
0,25224900;-5,37644600
0,25352900;-5,46617000
0,25480900;-5,64531400
0,25608900;-5,73503800
0,25736900;-5,91448700
0,25864900;-6,00390600
0,25992900;-6,09363100
0,26120900;-6,18335500
0,26248900;-6,27307900
0,26376900;-6,36280400
0,26504900;-6,45222300
0,26632900;-6,54194800
0,26760900;-6,54194800
0,26888900;-6,63167200
0,27016900;-6,72139600
0,27144900;-6,72139600
