t;v
-0,00312700;0,89938040
-0,00184700;0,54078800
-0,00056700;0,18219550
0,00071300;-0,17639700
0,00199300;-0,53498950
0,00327300;-0,89358200
0,00455300;-1,16245000
0,00583300;-1,61076700
0,00711300;-1,87963500
0,00839300;-2,23853300
0,00967300;-2,50740100
0,01095300;-2,86599300
0,01223300;-3,22458600
0,01351300;-3,49375900
0,01479300;-3,85235100
0,01607300;-4,12122000
0,01735300;-4,39008800
0,01863300;-4,74868000
0,01991300;-5,01785300
0,02119300;-5,28672100
0,02247300;-5,55589500
0,02375300;-5,82476300
0,02503300;-6,09363100
0,02631300;-6,27307900
0,02759300;-6,54194800
0,02887300;-6,72139600
0,03015300;-6,90054000
0,03143300;-7,16971300
0,03271300;-7,34885700
0,03399300;-7,52830600
0,03527300;-7,70744900
0,03655300;-7,88689900
0,03783300;-7,97662300
0,03911300;-8,15576600
0,04039300;-8,24549100
0,04167300;-8,33521600
0,04295300;-8,42494000
0,04423300;-8,51435900
0,04551300;-8,60408300
0,04679300;-8,69380800
0,04807300;-8,78353200
0,04935300;-8,78353200
0,05063300;-8,78353200
0,05191300;-8,78353200
0,05319300;-8,78353200
0,05447300;-8,78353200
0,05575300;-8,78353200
0,05703300;-8,69380800
0,05831300;-8,60408300
0,05959300;-8,51435900
0,06087300;-8,51435900
0,06215300;-8,33521600
0,06343300;-8,33521600
0,06471300;-8,15576600
0,06599300;-8,06604200
0,06727300;-7,88689900
0,06855300;-7,70744900
0,06983300;-7,61772500
0,07111300;-7,43858100
0,07239300;-7,25913300
0,07367300;-7,07998900
0,07495300;-6,81081600
0,07623300;-6,63167200
0,07751300;-6,36280400
0,07879300;-6,18335500
0,08007300;-5,91448700
0,08135300;-5,64531400
0,08263300;-5,37644600
0,08391300;-5,19699700
0,08519300;-4,83840500
0,08647300;-4,65926100
0,08775300;-4,30066800
0,08903300;-4,03149500
0,09031300;-3,76262700
0,09159300;-3,40403500
0,09287300;-3,13486100
0,09415300;-2,86599300
0,09543300;-2,50740100
0,09671300;-2,23853300
0,09799300;-1,87963500
0,09927300;-1,52104200
0,10055300;-1,25217400
0,10183300;-0,89358200
0,10311300;-0,53498950
0,10439300;-0,26581620
0,10567300;0,09277627
0,10695300;0,36133920
0,10823300;0,71993170
0,10951300;1,07852400
0,11079300;1,34769700
0,11207300;1,70629000
0,11335300;1,97515800
0,11463300;2,33375000
0,11591300;2,60292400
0,11719300;2,96151600
0,11847300;3,23038400
0,11975300;3,49925200
0,12103300;3,85815000
0,12231300;4,12701800
0,12359300;4,30616200
0,12487300;4,66506000
0,12615300;4,93392800
0,12743300;5,11307100
0,12871300;5,38224400
0,12999300;5,65111300
0,13127300;5,83056100
0,13255300;6,09942900
0,13383300;6,27887800
0,13511300;6,45802200
0,13639300;6,72719500
0,13767300;6,81661400
0,13895300;6,99606300
0,14023300;7,17520700
0,14151300;7,35465600
0,14279300;7,53410400
0,14407300;7,62352400
0,14535300;7,71324800
0,14663300;7,80297200
0,14791300;7,89269700
0,14919300;8,07184000
0,15047300;8,07184000
0,15175300;8,16156500
0,15303300;8,16156500
0,15431300;8,25128900
0,15559300;8,25128900
0,15687300;8,25128900
0,15815300;8,25128900
0,15943300;8,25128900
0,16071300;8,25128900
0,16199300;8,16156500
0,16327300;8,16156500
0,16455300;8,07184000
0,16583300;7,98211600
0,16711300;7,89269700
0,16839300;7,80297200
0,16967300;7,62352400
0,17095300;7,53410400
0,17223300;7,44438000
0,17351300;7,26493100
0,17479300;7,17520700
0,17607300;6,99606300
0,17735300;6,81661400
0,17863300;6,63747100
0,17991300;6,36829800
0,18119300;6,18915400
