t;v
-0,00358300;1,07852400
-0,00230300;0,71993170
-0,00102300;0,36133920
0,00025700;0,00305185
0,00153700;-0,35554060
0,00281700;-0,71413310
0,00409700;-0,98330630
0,00537700;-1,34189900
0,00665700;-1,70049100
0,00793700;-2,05908400
0,00921700;-2,41767600
0,01049700;-2,68685000
0,01177700;-3,04544200
0,01305700;-3,31431000
0,01433700;-3,67290300
0,01561700;-3,94177100
0,01689700;-4,21094400
0,01817700;-4,47981200
0,01945700;-4,83840500
0,02073700;-5,10757800
0,02201700;-5,37644600
0,02329700;-5,64531400
0,02457700;-5,91448700
0,02585700;-6,09363100
0,02713700;-6,45222300
0,02841700;-6,63167200
0,02969700;-6,81081600
0,03097700;-7,07998900
0,03225700;-7,25913300
0,03353700;-7,43858100
0,03481700;-7,61772500
0,03609700;-7,70744900
0,03737700;-7,97662300
0,03865700;-8,06604200
0,03993700;-8,24549100
0,04121700;-8,24549100
0,04249700;-8,42494000
0,04377700;-8,42494000
0,04505700;-8,60408300
0,04633700;-8,60408300
0,04761700;-8,69380800
0,04889700;-8,78353200
0,05017700;-8,69380800
0,05145700;-8,78353200
0,05273700;-8,78353200
0,05401700;-8,78353200
0,05529700;-8,69380800
0,05657700;-8,69380800
0,05785700;-8,69380800
0,05913700;-8,60408300
0,06041700;-8,51435900
0,06169700;-8,42494000
0,06297700;-8,33521600
0,06425700;-8,24549100
0,06553700;-8,15576600
0,06681700;-7,97662300
0,06809700;-7,79717400
0,06937700;-7,70744900
0,07065700;-7,52830600
0,07193700;-7,25913300
0,07321700;-7,16971300
0,07449700;-6,90054000
0,07577700;-6,72139600
0,07705700;-6,54194800
0,07833700;-6,27307900
0,07961700;-6,00390600
0,08089700;-5,82476300
0,08217700;-5,55589500
0,08345700;-5,28672100
0,08473700;-4,92812900
0,08601700;-4,74868000
0,08729700;-4,47981200
0,08857700;-4,21094400
0,08985700;-3,85235100
0,09113700;-3,58317800
0,09241700;-3,31431000
0,09369700;-2,95571800
0,09497700;-2,68685000
0,09625700;-2,41767600
0,09753700;-2,05908400
0,09881700;-1,70049100
0,10009700;-1,43162300
0,10137700;-1,07272600
0,10265700;-0,80385760
0,10393700;-0,35554060
0,10521700;-0,08667257
0,10649700;0,18219550
0,10777700;0,54078800
0,10905700;0,89938040
0,11033700;1,16824900
0,11161700;1,52684100
0,11289700;1,79601400
0,11417700;2,15460700
0,11545700;2,51319900
0,11673700;2,78206700
0,11801700;3,05124100
0,11929700;3,32010900
0,12057700;3,58897700
0,12185700;3,94756900
0,12313700;4,21674300
0,12441700;4,48561000
0,12569700;4,75447800
0,12697700;5,02365200
0,12825700;5,20279600
0,12953700;5,47196900
0,13081700;5,74083700
0,13209700;5,92028600
0,13337700;6,09942900
0,13465700;6,36829800
0,13593700;6,63747100
0,13721700;6,72719500
0,13849700;6,90633900
0,13977700;7,08578700
0,14105700;7,26493100
0,14233700;7,35465600
0,14361700;7,53410400
0,14489700;7,62352400
0,14617700;7,71324800
0,14745700;7,80297200
0,14873700;7,89269700
0,15001700;7,98211600
0,15129700;8,07184000
0,15257700;8,16156500
0,15385700;8,16156500
0,15513700;8,16156500
0,15641700;8,25128900
0,15769700;8,25128900
0,15897700;8,16156500
0,16025700;8,16156500
0,16153700;8,16156500
0,16281700;8,07184000
0,16409700;7,98211600
0,16537700;7,98211600
0,16665700;7,89269700
0,16793700;7,80297200
0,16921700;7,71324800
0,17049700;7,53410400
0,17177700;7,44438000
0,17305700;7,35465600
0,17433700;7,17520700
0,17561700;6,99606300
0,17689700;6,81661400
0,17817700;6,63747100
0,17945700;6,45802200
0,18073700;6,27887800
0,18201700;6,09942900
0,18329700;5,92028600
0,18457700;5,65111300
0,18585700;5,38224400
0,18713700;5,20279600
0,18841700;4,93392800
0,18969700;4,66506000
0,19097700;4,48561000
0,19225700;4,21674300
0,19353700;3,85815000
0,19481700;3,67870100
0,19609700;3,32010900
0,19737700;3,05124100
0,19865700;2,78206700
0,19993700;2,51319900
0,20121700;2,24402600
0,20249700;1,88543400
0,20377700;1,61656500
0,20505700;1,34769700
0,20633700;0,98910490
0,20761700;0,63020720
0,20889700;0,36133920
0,21017700;0,09277627
0,21145700;-0,17639700
0,21273700;-0,53498950
0,21401700;-0,80385760
0,21529700;-1,07272600
0,21657700;-1,43162300
0,21785700;-1,70049100
0,21913700;-1,96935900
0,22041700;-2,32795200
0,22169700;-2,59712500
0,22297700;-2,86599300
0,22425700;-3,13486100
0,22553700;-3,40403500
0,22681700;-3,67290300
0,22809700;-3,94177100
0,22937700;-4,12122000
0,23065700;-4,39008800
0,23193700;-4,65926100
0,23321700;-4,83840500
0,23449700;-5,10757800
0,23577700;-5,37644600
0,23705700;-5,55589500
0,23833700;-5,73503800
0,23961700;-5,91448700
0,24089700;-6,09363100
0,24217700;-6,27307900
0,24345700;-6,45222300
0,24473700;-6,63167200
0,24601700;-6,72139600
0,24729700;-6,81081600
0,24857700;-6,99026400
