t;v
-0,00306300;0,89938040
-0,00178300;0,54078800
-0,00050300;0,18219550
0,00077700;-0,17639700
0,00205700;-0,44526510
0,00333700;-0,80385760
0,00461700;-1,16245000
0,00589700;-1,52104200
0,00717700;-1,87963500
0,00845700;-2,23853300
0,00973700;-2,50740100
0,01101700;-2,86599300
0,01229700;-3,22458600
0,01357700;-3,49375900
0,01485700;-3,76262700
0,01613700;-4,12122000
0,01741700;-4,39008800
0,01869700;-4,65926100
0,01997700;-4,92812900
0,02125700;-5,28672100
0,02253700;-5,55589500
0,02381700;-5,82476300
0,02509700;-6,00390600
0,02637700;-6,27307900
0,02765700;-6,54194800
0,02893700;-6,81081600
0,03021700;-6,99026400
0,03149700;-7,16971300
0,03277700;-7,34885700
0,03405700;-7,52830600
0,03533700;-7,70744900
0,03661700;-7,79717400
0,03789700;-7,97662300
0,03917700;-8,15576600
0,04045700;-8,24549100
0,04173700;-8,33521600
0,04301700;-8,42494000
0,04429700;-8,60408300
0,04557700;-8,60408300
0,04685700;-8,69380800
0,04813700;-8,69380800
0,04941700;-8,69380800
0,05069700;-8,78353200
0,05197700;-8,78353200
0,05325700;-8,78353200
0,05453700;-8,78353200
0,05581700;-8,78353200
0,05709700;-8,69380800
0,05837700;-8,60408300
0,05965700;-8,60408300
0,06093700;-8,51435900
0,06221700;-8,42494000
0,06349700;-8,24549100
0,06477700;-8,24549100
0,06605700;-8,06604200
0,06733700;-7,97662300
0,06861700;-7,79717400
0,06989700;-7,61772500
0,07117700;-7,43858100
0,07245700;-7,25913300
0,07373700;-7,07998900
0,07501700;-6,81081600
0,07629700;-6,63167200
0,07757700;-6,45222300
0,07885700;-6,18335500
0,08013700;-5,91448700
0,08141700;-5,64531400
0,08269700;-5,46617000
0,08397700;-5,19699700
0,08525700;-4,92812900
0,08653700;-4,65926100
0,08781700;-4,30066800
0,08909700;-4,03149500
0,09037700;-3,76262700
0,09165700;-3,49375900
0,09293700;-3,13486100
0,09421700;-2,86599300
0,09549700;-2,59712500
0,09677700;-2,23853300
0,09805700;-1,87963500
0,09933700;-1,52104200
0,10061700;-1,25217400
0,10189700;-0,98330630
0,10317700;-0,62471390
0,10445700;-0,26581620
0,10573700;0,00305185
0,10701700;0,36133920
0,10829700;0,63020720
0,10957700;0,98910490
0,11085700;1,34769700
0,11213700;1,61656500
0,11341700;1,97515800
0,11469700;2,33375000
0,11597700;2,60292400
0,11725700;2,87179200
0,11853700;3,23038400
0,11981700;3,49925200
0,12109700;3,76842500
0,12237700;4,03729300
0,12365700;4,30616200
0,12493700;4,66506000
0,12621700;4,84420300
0,12749700;5,11307100
0,12877700;5,38224400
0,13005700;5,65111300
0,13133700;5,83056100
0,13261700;6,09942900
0,13389700;6,27887800
0,13517700;6,45802200
0,13645700;6,63747100
0,13773700;6,81661400
0,13901700;6,99606300
0,14029700;7,17520700
0,14157700;7,35465600
0,14285700;7,44438000
0,14413700;7,62352400
0,14541700;7,71324800
0,14669700;7,80297200
0,14797700;7,89269700
0,14925700;7,98211600
0,15053700;8,07184000
0,15181700;8,16156500
0,15309700;8,16156500
0,15437700;8,25128900
0,15565700;8,25128900
0,15693700;8,25128900
0,15821700;8,25128900
0,15949700;8,25128900
0,16077700;8,25128900
0,16205700;8,16156500
0,16333700;8,16156500
0,16461700;8,07184000
0,16589700;7,89269700
0,16717700;7,89269700
0,16845700;7,80297200
0,16973700;7,71324800
0,17101700;7,53410400
0,17229700;7,44438000
0,17357700;7,35465600
0,17485700;7,17520700
0,17613700;6,99606300
0,17741700;6,81661400
0,17869700;6,63747100
0,17997700;6,45802200
0,18125700;6,27887800
0,18253700;6,00970500
0,18381700;5,83056100
0,18509700;5,65111300
0,18637700;5,38224400
0,18765700;5,11307100
0,18893700;4,84420300
0,19021700;4,66506000
0,19149700;4,39588600
0,19277700;4,12701800
0,19405700;3,85815000
0,19533700;3,49925200
0,19661700;3,32010900
0,19789700;3,05124100
0,19917700;2,78206700
0,20045700;2,42347500
0,20173700;2,15460700
0,20301700;1,79601400
0,20429700;1,52684100
0,20557700;1,25797300
0,20685700;0,98910490
0,20813700;0,63020720
0,20941700;0,36133920
0,21069700;0,00305185
0,21197700;-0,26581620
0,21325700;-0,62471390
0,21453700;-0,89358200
0,21581700;-1,16245000
0,21709700;-1,52104200
0,21837700;-1,79021600
0,21965700;-2,05908400
0,22093700;-2,41767600
0,22221700;-2,68685000
0,22349700;-2,95571800
0,22477700;-3,22458600
0,22605700;-3,49375900
0,22733700;-3,76262700
0,22861700;-3,94177100
0,22989700;-4,21094400
0,23117700;-4,47981200
0,23245700;-4,65926100
0,23373700;-4,92812900
0,23501700;-5,19699700
0,23629700;-5,37644600
0,23757700;-5,55589500
0,23885700;-5,82476300
0,24013700;-6,00390600
0,24141700;-6,18335500
0,24269700;-6,27307900
0,24397700;-6,54194800
0,24525700;-6,63167200
0,24653700;-6,81081600
0,24781700;-6,90054000
0,24909700;-7,07998900
0,25037700;-7,16971300
0,25165700;-7,25913300
0,25293700;-7,34885700
0,25421700;-7,43858100
0,25549700;-7,52830600
0,25677700;-7,52830600
0,25805700;-7,61772500
0,25933700;-7,61772500
0,26061700;-7,61772500
0,26189700;-7,61772500
0,26317700;-7,61772500
0,26445700;-7,70744900
0,26573700;-7,61772500
0,26701700;-7,52830600
0,26829700;-7,61772500
0,26957700;-7,52830600
0,27085700;-7,43858100
0,27213700;-7,34885700
0,27341700;-7,25913300
0,27469700;-7,16971300
0,27597700;-7,07998900
0,27725700;-6,90054000
0,27853700;-6,81081600
0,27981700;-6,63167200
0,28109700;-6,54194800
0,28237700;-6,36280400
