time;voltage
-2,52311700;3,38526600
-2,51287700;3,38526600
-2,50263700;3,38526600
-2,49239700;3,38526600
-2,48215700;3,38526600
-2,47191700;3,38526600
-2,46167700;3,38526600
-2,45143700;3,38526600
-2,44119700;3,38526600
-2,43095700;3,38526600
-2,42071700;3,38526600
-2,41047700;3,38526600
-2,40023700;3,38526600
-2,38999700;3,38526600
-2,37975700;3,38526600
-2,36951700;3,38526600
-2,35927700;3,38526600
-2,34903700;3,38526600
-2,33879700;3,38526600
-2,32855700;3,38526600
-2,31831700;3,38526600
-2,30807700;3,38526600
-2,29783700;3,38526600
-2,28759700;3,38526600
-2,27735700;3,38526600
-2,26711700;3,38526600
-2,25687700;3,38526600
-2,24663700;3,38526600
-2,23639700;3,38526600
-2,22615700;3,38526600
-2,21591700;3,38526600
-2,20567700;3,38526600
-2,19543700;3,38526600
-2,18519700;3,38526600
-2,17495700;3,38526600
-2,16471700;3,38526600
-2,15447700;3,38526600
-2,14423700;3,38526600
-2,13399700;3,42921200
-2,12375700;3,38526600
-2,11351700;3,38526600
-2,10327700;3,38526600
-2,09303700;3,38526600
-2,08279700;3,38526600
-2,07255700;3,38526600
-2,06231700;3,38526600
-2,05207700;3,38526600
-2,04183700;3,38526600
-2,03159700;3,38526600
-2,02135700;3,38526600
-2,01111700;3,38526600
-2,00087700;3,38526600
-1,99063700;3,38526600
-1,98039700;3,38526600
-1,97015700;3,38526600
-1,95991700;3,38526600
-1,94967700;3,38526600
-1,93943700;3,38526600
-1,92919700;3,38526600
-1,91895700;3,38526600
-1,90871700;3,38526600
-1,89847700;3,38526600
-1,88823700;3,38526600
-1,87799700;3,38526600
-1,86775700;3,38526600
-1,85751700;3,38526600
-1,84727700;3,38526600
-1,83703700;3,38526600
-1,82679700;3,38526600
-1,81655700;3,38526600
-1,80631700;3,38526600
-1,79607700;3,38526600
-1,78583700;3,38526600
-1,77559700;3,38526600
-1,76535700;3,38526600
-1,75511700;3,38526600
-1,74487700;3,38526600
-1,73463701;3,38526600
-1,72439701;3,38526600
-1,71415701;3,42921200
-1,70391701;3,38526600
-1,69367701;3,38526600
-1,68343701;3,38526600
-1,67319701;3,38526600
-1,66295701;3,38526600
-1,65271701;3,38526600
-1,64247701;3,38526600
-1,63223701;3,38526600
-1,62199701;3,38526600
-1,61175701;3,38526600
-1,60151701;3,38526600
-1,59127701;3,38526600
-1,58103701;3,38526600
-1,57079701;3,42921200
-1,56055701;3,38526600
-1,55031701;3,38526600
-1,54007701;3,38526600
-1,52983701;3,38526600
-1,51959701;3,38526600
-1,50935701;3,38526600
-1,49911701;3,38526600
-1,48887701;3,38526600
-1,47863701;3,38526600
-1,46839701;3,38526600
-1,45815701;3,38526600
-1,44791701;3,38526600
-1,43767701;3,38526600
-1,42743701;3,38526600
-1,41719701;3,38526600
-1,40695701;3,38526600
-1,39671701;3,38526600
-1,38647701;3,38526600
-1,37623701;3,38526600
-1,36599701;3,38526600
-1,35575701;3,38526600
-1,34551701;3,38526600
-1,33527701;3,38526600
-1,32503701;3,38526600
-1,31479701;3,38526600
-1,30455701;3,38526600
-1,29431701;3,38526600
-1,28407701;3,38526600
-1,27383701;3,38526600
-1,26359701;3,38526600
-1,25335701;3,38526600
-1,24311701;3,38526600
-1,23287701;3,38526600
-1,22263701;3,38526600
-1,21239701;3,38526600
-1,20215701;3,38526600
-1,19191701;3,38526600
-1,18167701;3,38526600
-1,17143701;3,38526600
-1,16119701;3,38526600
-1,15095701;3,38526600
-1,14071701;3,38526600
-1,13047701;3,38526600
-1,12023701;3,38526600
-1,10999701;3,38526600
-1,09975701;3,38526600
-1,08951701;3,38526600
-1,07927701;3,38526600
-1,06903701;3,38526600
-1,05879701;3,38526600
-1,04855701;3,38526600
-1,03831701;3,38526600
-1,02807701;3,38526600
-1,01783701;3,38526600
-1,00759701;3,38526600
-0,99735701;3,38526600
-0,98711701;3,38526600
-0,97687701;3,38526600
-0,96663701;3,38526600
-0,95639701;3,38526600
-0,94615701;3,38526600
-0,93591701;3,38526600
-0,92567701;3,38526600
-0,91543701;3,38526600
-0,90519701;3,38526600
-0,89495701;3,38526600
-0,88471701;3,38526600
-0,87447701;3,38526600
-0,86423701;3,38526600
-0,85399701;3,38526600
-0,84375701;3,38526600
-0,83351701;3,38526600
-0,82327701;3,38526600
-0,81303701;3,38526600
-0,80279701;3,38526600
-0,79255701;3,38526600
-0,78231701;3,38526600
-0,77207701;3,38526600
-0,76183701;3,38526600
-0,75159701;3,38526600
-0,74135701;3,38526600
-0,73111701;3,38526600
-0,72087701;3,38526600
-0,71063701;3,38526600
-0,70039701;3,38526600
-0,69015701;3,38526600
-0,67991701;3,38526600
-0,66967701;3,38526600
-0,65943701;3,38526600
-0,64919701;3,38526600
-0,63895701;3,38526600
-0,62871701;3,38526600
-0,61847701;3,38526600
-0,60823701;3,38526600
-0,59799701;3,38526600
-0,58775701;3,38526600
-0,57751701;3,38526600
-0,56727701;3,38526600
