time;voltage
-2,52125808;3,38526600
-2,51101808;3,38526600
-2,50077808;3,38526600
-2,49053808;3,38526600
-2,48029808;3,38526600
-2,47005808;3,38526600
-2,45981808;3,38526600
-2,44957808;3,42921200
-2,43933808;3,42921200
-2,42909808;3,38526600
-2,41885808;3,38526600
-2,40861808;3,42921200
-2,39837808;3,42921200
-2,38813808;3,42921200
-2,37789808;3,38526600
-2,36765808;3,38526600
-2,35741808;3,38526600
-2,34717808;3,38526600
-2,33693808;3,38526600
-2,32669808;3,42921200
-2,31645808;3,38526600
-2,30621808;3,38526600
-2,29597808;3,38526600
-2,28573808;3,38526600
-2,27549808;3,38526600
-2,26525808;3,42921200
-2,25501808;3,38526600
-2,24477808;3,42921200
-2,23453808;3,38526600
-2,22429808;3,38526600
-2,21405808;3,38526600
-2,20381808;3,42921200
-2,19357808;3,38526600
-2,18333808;3,38526600
-2,17309808;3,38526600
-2,16285808;3,42921200
-2,15261808;3,42921200
-2,14237808;3,38526600
-2,13213808;3,38526600
-2,12189808;3,38526600
-2,11165808;3,38526600
-2,10141808;3,38526600
-2,09117808;3,38526600
-2,08093808;3,38526600
-2,07069808;3,38526600
-2,06045808;3,38526600
-2,05021808;3,38526600
-2,03997808;3,38526600
-2,02973808;3,42921200
-2,01949808;3,38526600
-2,00925808;3,38526600
-1,99901808;3,38526600
-1,98877808;3,42921200
-1,97853808;3,38526600
-1,96829808;3,38526600
-1,95805808;3,38526600
-1,94781808;3,38526600
-1,93757808;3,38526600
-1,92733808;3,38526600
-1,91709808;3,38526600
-1,90685808;3,38526600
-1,89661808;3,42921200
-1,88637808;3,38526600
-1,87613808;3,38526600
-1,86589808;3,38526600
-1,85565808;3,38526600
-1,84541808;3,38526600
-1,83517808;3,38526600
-1,82493808;3,38526600
-1,81469808;3,38526600
-1,80445808;3,38526600
-1,79421808;3,38526600
-1,78397808;3,38526600
-1,77373808;3,38526600
-1,76349808;3,38526600
-1,75325809;3,38526600
-1,74301809;3,38526600
-1,73277809;3,38526600
-1,72253809;3,38526600
-1,71229809;3,38526600
-1,70205809;3,38526600
-1,69181809;3,38526600
-1,68157809;3,42921200
-1,67133809;3,38526600
-1,66109809;3,38526600
-1,65085809;3,38526600
-1,64061809;3,38526600
-1,63037809;3,38526600
-1,62013809;3,38526600
-1,60989809;3,42921200
-1,59965809;3,38526600
-1,58941809;3,38526600
-1,57917809;3,38526600
-1,56893809;3,38526600
-1,55869809;3,38526600
-1,54845809;3,38526600
-1,53821809;3,38526600
-1,52797809;3,38526600
-1,51773809;3,38526600
-1,50749809;3,38526600
-1,49725809;3,38526600
-1,48701809;3,38526600
-1,47677809;3,42921200
-1,46653809;3,38526600
-1,45629809;3,38526600
-1,44605809;3,38526600
-1,43581809;3,38526600
-1,42557809;3,42921200
-1,41533809;3,38526600
-1,40509809;3,38526600
-1,39485809;3,38526600
-1,38461809;3,38526600
-1,37437809;3,38526600
-1,36413809;3,38526600
-1,35389809;3,38526600
-1,34365809;3,38526600
-1,33341809;3,38526600
-1,32317809;3,38526600
-1,31293809;3,38526600
-1,30269809;3,38526600
-1,29245809;3,38526600
-1,28221809;3,38526600
-1,27197809;3,38526600
-1,26173809;3,38526600
-1,25149809;3,38526600
-1,24125809;3,38526600
-1,23101809;3,38526600
-1,22077809;3,38526600
-1,21053809;3,42921200
-1,20029809;3,38526600
-1,19005809;3,38526600
-1,17981809;3,38526600
-1,16957809;3,38526600
-1,15933809;3,38526600
-1,14909809;3,38526600
-1,13885809;3,38526600
-1,12861809;3,38526600
-1,11837809;3,38526600
-1,10813809;3,38526600
-1,09789809;3,42921200
-1,08765809;3,38526600
-1,07741809;3,38526600
-1,06717809;3,38526600
-1,05693809;3,38526600
-1,04669809;3,38526600
-1,03645809;3,38526600
-1,02621809;3,38526600
-1,01597809;3,38526600
-1,00573809;3,38526600
-0,99549809;3,38526600
-0,98525809;3,38526600
-0,97501809;3,38526600
-0,96477809;3,38526600
-0,95453809;3,38526600
-0,94429809;3,38526600
-0,93405809;3,38526600
-0,92381809;3,38526600
-0,91357809;3,38526600
-0,90333809;3,38526600
-0,89309809;3,38526600
-0,88285809;3,38526600
-0,87261809;3,38526600
-0,86237809;3,38526600
-0,85213809;3,38526600
-0,84189809;3,38526600
-0,83165809;3,38526600
-0,82141809;3,38526600
-0,81117809;3,38526600
-0,80093809;3,38526600
-0,79069809;3,38526600
-0,78045809;3,38526600
-0,77021809;3,42921200
-0,75997809;3,38526600
-0,74973809;3,38526600
-0,73949809;3,38526600
-0,72925809;3,38526600
-0,71901809;3,38526600
-0,70877809;3,38526600
-0,69853809;3,38526600
-0,68829809;3,38526600
-0,67805809;3,38526600
-0,66781809;3,38526600
-0,65757809;3,38526600
-0,64733809;3,38526600
-0,63709809;3,38526600
-0,62685809;3,38526600
-0,61661809;3,38526600
-0,60637809;3,38526600
-0,59613809;3,38526600
-0,58589809;3,38526600
-0,57565809;3,38526600
-0,56541809;3,38526600
-0,55517809;3,38526600
-0,54493809;3,38526600
-0,53469809;3,34131900
-0,52445809;3,38526600
-0,51421809;3,34131900
-0,50397809;3,38526600
-0,49373809;3,34131900
-0,48349809;3,38526600
-0,47325809;3,38526600
-0,46301809;3,34131900
-0,45277809;3,34131900
-0,44253809;3,34131900
-0,43229809;3,34131900
-0,42205809;3,38526600
-0,41181809;3,38526600
-0,40157809;3,34131900
-0,39133809;3,38526600
-0,38109809;3,34131900
