theta;u
-85;0.288
-75;0.25
-65;0.208
-55;0.172
-45;0.144
-35;0.126
-25;0.122
-15;0.131
-5;0.153
5;0.187
15;0.223
25;0.264
35;0.301
45;0.329
55;0.34
65;0.353
75;0.345
