theta;u
-85;0.119
-75;0.063
-65;0.022
-55;0.007
-45;0.022
-35;0.060
-25;0.119
-15;0.193
-5;0.271
5;0.345
15;0.406
25;0.448
35;0.461
45;0.448
55;0.412
65;0.354
75;0.283
