time,voltage
-1.10130000,3.42234600
-1.10066000,3.42234600
-1.10002000,3.33445200
-1.09938000,3.42234600
-1.09874000,3.33445200
-1.09810000,3.33445200
-1.09746000,3.42234600
-1.09682000,3.42234600
-1.09618000,3.33445200
-1.09554000,3.42234600
-1.09490000,3.33445200
-1.09426000,3.42234600
-1.09362000,3.42234600
-1.09298000,3.42234600
-1.09234000,3.42234600
-1.09170000,3.42234600
-1.09106000,3.33445200
-1.09042000,3.42234600
-1.08978000,3.33445200
-1.08914000,3.42234600
-1.08850000,3.42234600
-1.08786000,3.42234600
-1.08722000,3.42234600
-1.08658000,3.42234600
-1.08594000,3.42234600
-1.08530000,3.33445200
-1.08466000,3.42234600
-1.08402000,3.42234600
-1.08338000,3.42234600
-1.08274000,3.42234600
-1.08210000,3.42234600
-1.08146000,3.42234600
-1.08082000,3.42234600
-1.08018000,3.42234600
-1.07954000,3.42234600
-1.07890000,3.42234600
-1.07826000,3.42234600
-1.07762000,3.33445200
-1.07698000,3.33445200
-1.07634000,3.33445200
-1.07570000,3.42234600
-1.07506000,3.42234600
-1.07442000,3.33445200
-1.07378000,3.42234600
-1.07314000,3.42234600
-1.07250000,3.33445200
-1.07186000,3.42234600
-1.07122000,3.42234600
-1.07058000,3.42234600
-1.06994000,3.33445200
-1.06930000,3.42234600
-1.06866000,3.42234600
-1.06802000,3.42234600
-1.06738000,3.42234600
-1.06674000,3.42234600
-1.06610000,3.42234600
-1.06546000,3.42234600
-1.06482000,3.33445200
-1.06418000,3.42234600
-1.06354000,3.33445200
-1.06290000,3.42234600
-1.06226000,3.42234600
-1.06162000,3.42234600
-1.06098000,3.42234600
-1.06034000,3.42234600
-1.05970000,3.42234600
-1.05906000,3.42234600
-1.05842000,3.33445200
-1.05778000,3.42234600
-1.05714000,3.42234600
-1.05650000,3.42234600
-1.05586000,3.42234600
-1.05522000,3.42234600
-1.05458000,3.33445200
-1.05394000,3.42234600
-1.05330000,3.33445200
-1.05266000,3.42234600
-1.05202000,3.42234600
-1.05138000,3.42234600
-1.05074000,3.33445200
-1.05010000,3.42234600
-1.04946000,3.42234600
-1.04882000,3.42234600
-1.04818000,3.42234600
-1.04754000,3.42234600
-1.04690000,3.42234600
-1.04626000,3.42234600
-1.04562000,3.42234600
-1.04498000,3.42234600
-1.04434000,3.42234600
-1.04370000,3.42234600
-1.04306000,3.42234600
-1.04242000,3.42234600
-1.04178000,3.42234600
-1.04114000,3.42234600
-1.04050000,3.42234600
-1.03986000,3.42234600
-1.03922000,3.42234600
-1.03858000,3.33445200
-1.03794000,3.42234600
-1.03730000,3.42234600
-1.03666000,3.42234600
-1.03602000,3.42234600
-1.03538000,3.42234600
-1.03474000,3.42234600
-1.03410000,3.42234600
-1.03346000,3.42234600
-1.03282000,3.42234600
-1.03218000,3.42234600
-1.03154000,3.42234600
-1.03090000,3.42234600
-1.03026000,3.42234600
-1.02962000,3.33445200
-1.02898000,3.42234600
-1.02834000,3.42234600
-1.02770000,3.42234600
-1.02706000,3.33445200
-1.02642000,3.42234600
-1.02578000,3.42234600
-1.02514000,3.42234600
-1.02450000,3.42234600
-1.02386000,3.42234600
-1.02322000,3.42234600
-1.02258000,3.42234600
-1.02194000,3.42234600
-1.02130000,3.42234600
-1.02066000,3.33445200
-1.02002000,3.42234600
-1.01938000,3.42234600
-1.01874000,3.42234600
-1.01810000,3.42234600
-1.01746000,3.42234600
-1.01682000,3.42234600
-1.01618000,3.42234600
-1.01554000,3.42234600
-1.01490000,3.42234600
-1.01426000,3.42234600
-1.01362000,3.42234600
-1.01298000,3.42234600
-1.01234000,3.42234600
-1.01170000,3.42234600
-1.01106000,3.42234600
-1.01042000,3.42234600
-1.00978000,3.42234600
-1.00914000,3.42234600
-1.00850000,3.42234600
-1.00786000,3.33445200
-1.00722000,3.42234600
-1.00658000,3.42234600
-1.00594000,3.42234600
-1.00530000,3.42234600
-1.00466000,3.42234600
-1.00402000,3.42234600
-1.00338000,3.42234600
-1.00274000,3.42234600
-1.00210000,3.42234600
-1.00146000,3.42234600
-1.00082000,3.33445200
-1.00018000,3.33445200
-0.99954000,3.42234600
-0.99890000,3.42234600
-0.99826000,3.42234600
-0.99762000,3.42234600
-0.99698000,3.42234600
-0.99634000,3.42234600
-0.99570000,3.42234600
-0.99506000,3.42234600
-0.99442000,3.33445200
-0.99378000,3.42234600
-0.99314000,3.42234600
-0.99250000,3.42234600
-0.99186000,3.42234600
-0.99122000,3.42234600
-0.99058000,3.42234600
-0.98994000,3.33445200
-0.98930000,3.42234600
-0.98866000,3.42234600
-0.98802000,3.42234600
-0.98738000,3.42234600
-0.98674000,3.42234600
-0.98610000,3.42234600
-0.98546000,3.33445200
-0.98482000,3.42234600
-0.98418000,3.42234600
-0.98354000,3.33445200
-0.98290000,3.42234600
-0.98226000,3.42234600
-0.98162000,3.42234600
-0.98098000,3.42234600
-0.98034000,3.42234600
-0.97970000,3.42234600
-0.97906000,3.42234600
-0.97842000,3.42234600
-0.97778000,3.42234600
-0.97714000,3.42234600
-0.97650000,3.42234600
-0.97586000,3.42234600
-0.97522000,3.42234600
-0.97458000,3.42234600
-0.97394000,3.42234600
-0.97330000,3.33445200
-0.97266000,3.42234600
-0.97202000,3.42234600
-0.97138000,3.42234600
-0.97074000,3.42234600
-0.97010000,3.33445200
-0.96946000,3.42234600
-0.96882000,3.33445200
-0.96818000,3.42234600
-0.96754000,3.42234600
-0.96690000,3.42234600
-0.96626000,3.42234600
-0.96562000,3.42234600
-0.96498000,3.42234600
-0.96434000,3.42234600
-0.96370000,3.33445200
-0.96306000,3.42234600
-0.96242000,3.42234600
-0.96178000,3.42234600
-0.96114000,3.33445200
-0.96050000,3.42234600
-0.95986000,3.42234600
-0.95922000,3.42234600
-0.95858000,3.42234600
-0.95794000,3.42234600
-0.95730000,3.42234600
-0.95666000,3.42234600
-0.95602000,3.42234600
-0.95538000,3.42234600
-0.95474000,3.42234600
-0.95410000,3.42234600
-0.95346000,3.42234600
-0.95282000,3.42234600
-0.95218000,3.42234600
-0.95154000,3.42234600
-0.95090000,3.42234600
-0.95026000,3.42234600
-0.94962000,3.42234600
-0.94898000,3.42234600
-0.94834000,3.42234600
-0.94770000,3.42234600
-0.94706000,3.42234600
-0.94642000,3.33445200
-0.94578000,3.42234600
-0.94514000,3.42234600
-0.94450000,3.42234600
-0.94386000,3.42234600
-0.94322000,3.42234600
-0.94258000,3.42234600
-0.94194000,3.42234600
-0.94130000,3.42234600
-0.94066000,3.33445200
-0.94002000,3.42234600
-0.93938000,3.33445200
-0.93874000,3.42234600
-0.93810000,3.42234600
-0.93746000,3.42234600
-0.93682000,3.33445200
-0.93618000,3.42234600
-0.93554000,3.42234600
-0.93490000,3.42234600
-0.93426000,3.33445200
-0.93362000,3.42234600
-0.93298000,3.42234600
-0.93234000,3.42234600
-0.93170000,3.42234600
-0.93106000,3.33445200
-0.93042000,3.42234600
-0.92978000,3.42234600
-0.92914000,3.33445200
-0.92850000,3.42234600
-0.92786000,3.42234600
-0.92722000,3.33445200
-0.92658001,3.42234600
-0.92594001,3.42234600
-0.92530001,3.42234600
-0.92466001,3.42234600
-0.92402001,3.42234600
-0.92338001,3.42234600
-0.92274001,3.42234600
-0.92210001,3.42234600
-0.92146001,3.42234600
-0.92082001,3.42234600
-0.92018001,3.33445200
-0.91954001,3.42234600
-0.91890001,3.33445200
-0.91826001,3.42234600
-0.91762001,3.42234600
-0.91698001,3.42234600
-0.91634001,3.42234600
-0.91570001,3.42234600
-0.91506001,3.42234600
-0.91442001,3.42234600
-0.91378001,3.42234600
-0.91314001,3.42234600
-0.91250001,3.42234600
-0.91186001,3.33445200
-0.91122001,3.33445200
-0.91058001,3.42234600
-0.90994001,3.33445200
-0.90930001,3.42234600
-0.90866001,3.42234600
-0.90802001,3.42234600
-0.90738001,3.33445200
-0.90674001,3.42234600
-0.90610001,3.42234600
-0.90546001,3.42234600
-0.90482001,3.42234600
-0.90418001,3.33445200
-0.90354001,3.42234600
-0.90290001,3.42234600
-0.90226001,3.33445200
-0.90162001,3.42234600
-0.90098001,3.42234600
-0.90034001,3.42234600
-0.89970001,3.42234600
-0.89906001,3.33445200
-0.89842001,3.33445200
-0.89778001,3.33445200
-0.89714001,3.42234600
-0.89650001,3.42234600
-0.89586001,3.42234600
-0.89522001,3.42234600
-0.89458001,3.42234600
-0.89394001,3.33445200
-0.89330001,3.42234600
-0.89266001,3.42234600
-0.89202001,3.42234600
-0.89138001,3.33445200
-0.89074001,3.42234600
-0.89010001,3.42234600
-0.88946001,3.42234600
-0.88882001,3.33445200
-0.88818001,3.42234600
-0.88754001,3.33445200
-0.88690001,3.42234600
-0.88626001,3.33445200
-0.88562001,3.42234600
-0.88498001,3.42234600
-0.88434001,3.42234600
-0.88370001,3.42234600
-0.88306001,3.42234600
-0.88242001,3.42234600
-0.88178001,3.42234600
-0.88114001,3.42234600
-0.88050001,3.33445200
-0.87986001,3.33445200
-0.87922001,3.42234600
-0.87858001,3.33445200
-0.87794001,3.33445200
-0.87730001,3.42234600
-0.87666001,3.42234600
-0.87602001,3.42234600
-0.87538001,3.42234600
-0.87474001,3.33445200
-0.87410001,3.42234600
-0.87346001,3.42234600
-0.87282001,3.33445200
-0.87218001,3.33445200
-0.87154001,3.42234600
-0.87090001,3.33445200
-0.87026001,3.33445200
-0.86962001,3.42234600
-0.86898001,3.42234600
-0.86834001,3.42234600
-0.86770001,3.42234600
-0.86706001,3.42234600
-0.86642001,3.42234600
-0.86578001,3.33445200
-0.86514001,3.33445200
-0.86450001,3.42234600
-0.86386001,3.42234600
-0.86322001,3.33445200
-0.86258001,3.42234600
-0.86194001,3.42234600
