time,voltage
-1.10096403,3.42234600
-1.10032403,3.33445200
-1.09968403,3.33445200
-1.09904403,3.42234600
-1.09840403,3.42234600
-1.09776403,3.33445200
-1.09712403,3.42234600
-1.09648403,3.42234600
-1.09584403,3.42234600
-1.09520403,3.33445200
-1.09456403,3.42234600
-1.09392403,3.42234600
-1.09328403,3.42234600
-1.09264403,3.42234600
-1.09200403,3.42234600
-1.09136403,3.42234600
-1.09072403,3.42234600
-1.09008403,3.42234600
-1.08944403,3.42234600
-1.08880403,3.42234600
-1.08816403,3.42234600
-1.08752403,3.42234600
-1.08688403,3.33445200
-1.08624403,3.42234600
-1.08560403,3.42234600
-1.08496403,3.42234600
-1.08432403,3.42234600
-1.08368403,3.42234600
-1.08304403,3.42234600
-1.08240403,3.42234600
-1.08176403,3.42234600
-1.08112403,3.42234600
-1.08048403,3.42234600
-1.07984403,3.42234600
-1.07920403,3.33445200
-1.07856403,3.42234600
-1.07792403,3.42234600
-1.07728403,3.42234600
-1.07664403,3.42234600
-1.07600403,3.42234600
-1.07536403,3.42234600
-1.07472403,3.42234600
-1.07408403,3.42234600
-1.07344403,3.33445200
-1.07280403,3.42234600
-1.07216403,3.42234600
-1.07152403,3.42234600
-1.07088403,3.33445200
-1.07024403,3.42234600
-1.06960403,3.33445200
-1.06896403,3.42234600
-1.06832403,3.42234600
-1.06768403,3.42234600
-1.06704403,3.42234600
-1.06640403,3.33445200
-1.06576403,3.42234600
-1.06512403,3.42234600
-1.06448403,3.33445200
-1.06384403,3.42234600
-1.06320403,3.42234600
-1.06256403,3.42234600
-1.06192403,3.33445200
-1.06128403,3.33445200
-1.06064403,3.42234600
-1.06000403,3.42234600
-1.05936403,3.42234600
-1.05872403,3.33445200
-1.05808403,3.42234600
-1.05744403,3.42234600
-1.05680403,3.42234600
-1.05616403,3.42234600
-1.05552403,3.42234600
-1.05488403,3.33445200
-1.05424403,3.42234600
-1.05360403,3.42234600
-1.05296403,3.42234600
-1.05232403,3.42234600
-1.05168403,3.42234600
-1.05104403,3.42234600
-1.05040403,3.33445200
-1.04976403,3.42234600
-1.04912403,3.33445200
-1.04848403,3.33445200
-1.04784403,3.42234600
-1.04720403,3.33445200
-1.04656403,3.33445200
-1.04592403,3.42234600
-1.04528403,3.33445200
-1.04464403,3.42234600
-1.04400403,3.42234600
-1.04336403,3.33445200
-1.04272403,3.42234600
-1.04208403,3.42234600
-1.04144403,3.42234600
-1.04080403,3.42234600
-1.04016403,3.33445200
-1.03952403,3.33445200
-1.03888403,3.42234600
-1.03824403,3.42234600
-1.03760403,3.42234600
-1.03696403,3.42234600
-1.03632403,3.42234600
-1.03568403,3.42234600
-1.03504403,3.42234600
-1.03440403,3.42234600
-1.03376403,3.42234600
-1.03312403,3.42234600
-1.03248403,3.42234600
-1.03184403,3.42234600
-1.03120403,3.42234600
-1.03056403,3.42234600
-1.02992403,3.42234600
-1.02928403,3.42234600
-1.02864403,3.42234600
-1.02800403,3.42234600
-1.02736403,3.42234600
-1.02672403,3.33445200
-1.02608403,3.42234600
-1.02544403,3.42234600
-1.02480403,3.42234600
-1.02416403,3.42234600
-1.02352403,3.42234600
-1.02288403,3.42234600
-1.02224403,3.42234600
-1.02160403,3.42234600
-1.02096403,3.42234600
-1.02032403,3.42234600
-1.01968403,3.33445200
-1.01904403,3.42234600
-1.01840403,3.42234600
-1.01776403,3.33445200
-1.01712403,3.42234600
-1.01648403,3.42234600
-1.01584403,3.42234600
-1.01520403,3.42234600
-1.01456403,3.42234600
-1.01392403,3.42234600
-1.01328403,3.42234600
-1.01264403,3.42234600
-1.01200403,3.42234600
-1.01136403,3.42234600
-1.01072403,3.42234600
-1.01008403,3.42234600
-1.00944403,3.42234600
