vol;press
4;12.9
3.9;13.2
3.8;13.6
3.7;14
3.6;14.4
3.5;14.7
3.4;15
3.3;15.5
3.2;16
3.1;16.6
3;17.1
2.9;17.6
2.8;18.2
2.7;18.8
2.6;19.4
2.5;20.1
2.4;20.9
2.3;21.6
2.2;22.5
2.1;23.5
2;24.3
1.9;25.1
1.8;26.2
1.7;27.6
1.6;28.8
1.5;30.2
1.4;31.6
1.3;33.1
1.2;35
1.1;36.5
1;38.2
0.9;39.8
0.8;41.7
0.7;43.5
0.6;45
