vol;press
4;11.5
3.9;11.8
3.8;12
3.7;12.5
3.6;12.7
3.5;13
3.4;13.5
3.3;13.9
3.2;14.2
3.1;14.5
3;15.1
2.9;15.5
2.8;16
2.7;16.5
2.6;17
2.5;17.7
2.4;18.4
2.3;19
2.2;19.5
2.1;20.20
2;21
1.9;21.7
1.8;22.5
1.7;23.20
1.6;23.9
1.5;24.1
1.4;24.3
1.3;25.5
1.2;27
1.1;27
1;27
0.9;27.1
0.8;27.5
0.7;27.8
0.6;28
0.5;29
0.4;34
0.35;42
