vol;press
4;12.5
3.9;12.7
3.8;13
3.7;13.5
3.6;13.9
3.5;14.2
3.4;14.8
3.3;15
3.2;15.5
3.1;16
3;16.5
2.9;17.1
2.8;17.5
2.7;18.1
2.6;18.8
2.5;19.4
2.4;20.1
2.3;21
2.2;21.7
2.1;22.5
2;23.4
1.9;24.2
1.8;25
1.7;26.1
1.6;27.5
1.5;28.5
1.4;30.1
1.3;30.5
1.2;32.6
1.1;34.2
1;35.5
0.9;37
0.8;38
0.7;38.5
0.6;39.5
0.5;40.5
0.4;46
