vol;press
4;10.25
3.9;10.5
3.8;10.9
3.7;11
3.6;11.3
3.5;11.6
3.4;12
3.3;12.3
3.2;12.6
3.1;13
3.0;13.4
2.9;13.8
2.8;14.1
2.7;14.5
2.6;15
2.4;15.5
2.3;15.6
2.2;15.8
2.1;15.8
2.0;15.9
1.9;16
1.8;16
1.7;16
1.6;16
1.5;16
1.4;16
1.3;16
1.2;16.1
1.1;16.4
1.0;16.5
0.9;16.6
0.9;16.8
0.8;17.1
0.6;17.5
0.5;18.2
0.4;21.4
0.35;25


