vol;press
4;12.4
3.9;12.7
3.8;13
3.7;13.4
3.6;13.9
3.5;14.1
3.4;14.5
3.3;15
3.2;15.5
3.1;15.9
3;16.5
2.9;17
2.8;17.5
2.7;18
2.6;18.6
2.5;19.1
2.4;20
2.3;20.6
2.2;21.5
2.1;22.3
2;23
1.9;24
1.8;24.9
1.7;26.1
1.6;27
1.5;28.4
1.4;28.6
1.3;30.8
1.2;32.2
1.1;33.5
1;35
0.9;36
0.8;37
0.7;37.5
0.6;38
0.5;38.5
0.4;45
