vol;press
4;10.5
3.9;10.9
3.8;11.1
3.7;11.4
3.6;11.7
3.5;12
3.4;12.3
3.3;12.6
3.2;13
3.1;13.4
3;13.8
2.9;14.2
2.8;14.5
2.7;15
2.6;15.5
2.5;16
2.4;16.5
2.3;17
2.2;17.5
2.1;18
2;18.2
1.9;18.2
1.8;18.2
1.7;18.4
1.6;18.5
1.5;18.5
1.4;18.5
1.3;18.6
1.2;18.8
1.1;19
1;19
0.9;19.1
0.8;19.5
0.7;19.9
0.6;20.5
0.5;21.4
0.4;24
0.35;34
