t;v
-0,00349900;0,27161470
-0,00221900;0,18219550
-0,00093900;0,18219550
0,00034100;0,00305185
0,00162100;-0,08667257
0,00290100;-0,08667257
0,00418100;-0,26581620
0,00546100;-0,35554060
0,00674100;-0,44526510
0,00802100;-0,53498950
0,00930100;-0,62471390
0,01058100;-0,71413310
0,01186100;-0,80385760
0,01314100;-0,89358200
0,01442100;-0,98330630
0,01570100;-1,07272600
0,01698100;-1,16245000
0,01826100;-1,25217400
0,01954100;-1,34189900
0,02082100;-1,43162300
0,02210100;-1,52104200
0,02338100;-1,52104200
0,02466100;-1,61076700
0,02594100;-1,79021600
0,02722100;-1,79021600
0,02850100;-1,87963500
0,02978100;-1,96935900
0,03106100;-1,96935900
0,03234100;-2,05908400
0,03362100;-2,23853300
0,03490100;-2,23853300
0,03618100;-2,32795200
0,03746100;-2,32795200
0,03874100;-2,41767600
0,04002100;-2,50740100
0,04130100;-2,50740100
0,04258100;-2,50740100
0,04386100;-2,50740100
0,04514100;-2,59712500
0,04642100;-2,59712500
0,04770100;-2,59712500
0,04898100;-2,68685000
0,05026100;-2,59712500
0,05154100;-2,68685000
0,05282100;-2,68685000
0,05410100;-2,68685000
0,05538100;-2,68685000
0,05666100;-2,68685000
0,05794100;-2,59712500
0,05922100;-2,59712500
0,06050100;-2,59712500
0,06178100;-2,50740100
0,06306100;-2,59712500
0,06434100;-2,50740100
0,06562100;-2,50740100
0,06690100;-2,41767600
0,06818100;-2,41767600
0,06946100;-2,32795200
0,07074100;-2,32795200
0,07202100;-2,23853300
0,07330100;-2,14880800
0,07458100;-2,05908400
0,07586100;-1,96935900
0,07714100;-1,87963500
0,07842100;-1,79021600
0,07970100;-1,70049100
0,08098100;-1,61076700
0,08226100;-1,52104200
0,08354100;-1,52104200
0,08482100;-1,43162300
0,08610100;-1,25217400
0,08738100;-1,16245000
0,08866100;-1,07272600
0,08994100;-0,89358200
0,09122100;-0,80385760
0,09250100;-0,71413310
0,09378100;-0,53498950
0,09506100;-0,44526510
0,09634100;-0,35554060
0,09762100;-0,26581620
0,09890100;-0,08667257
0,10018100;0,00305185
0,10146100;0,18219550
0,10274100;0,27161470
0,10402100;0,36133920
0,10530100;0,54078800
0,10658100;0,63020720
0,10786100;0,80965610
0,10914100;0,89938040
0,11042100;0,98910490
0,11170100;1,07852400
0,11298100;1,25797300
0,11426100;1,34769700
0,11554100;1,52684100
0,11682100;1,61656500
0,11810100;1,79601400
0,11938100;1,88543400
0,12066100;1,97515800
0,12194100;2,06488200
0,12322100;2,24402600
0,12450100;2,33375000
0,12578100;2,42347500
0,12706100;2,51319900
0,12834100;2,60292400
0,12962100;2,69234300
0,13090100;2,78206700
0,13218100;2,87179200
0,13346100;2,87179200
0,13474100;2,96151600
0,13602100;3,05124100
0,13730100;3,05124100
0,13858100;3,14066000
0,13986100;3,23038400
0,14114100;3,23038400
0,14242100;3,32010900
0,14370100;3,32010900
0,14498100;3,40983300
0,14626100;3,40983300
0,14754100;3,40983300
0,14882100;3,40983300
0,15010100;3,40983300
0,15138100;3,40983300
0,15266100;3,40983300
0,15394100;3,40983300
0,15522100;3,40983300
0,15650100;3,40983300
0,15778100;3,40983300
0,15906100;3,32010900
0,16034100;3,32010900
0,16162100;3,23038400
0,16290100;3,23038400
0,16418100;3,23038400
0,16546100;3,14066000
0,16674100;3,05124100
0,16802100;2,96151600
0,16930100;2,87179200
0,17058100;2,78206700
0,17186100;2,69234300
0,17314100;2,69234300
0,17442100;2,60292400
0,17570100;2,51319900
0,17698100;2,33375000
0,17826100;2,24402600
0,17954100;2,06488200
0,18082100;2,06488200
0,18210100;1,88543400
0,18338100;1,79601400
0,18466100;1,61656500
0,18594100;1,52684100
0,18722100;1,34769700
0,18850100;1,25797300
0,18978100;1,07852400
