I;U
63,643400E-6;2,537485E+0
169,186048E-6;2,576205E+0
265,182993E-6;2,597715E+0
379,593271E-6;2,617292E+0
457,830708E-6;2,628823E+0
564,977622E-6;2,642625E+0
654,290440E-6;2,653342E+0
765,498850E-6;2,665560E+0
841,051031E-6;2,673364E+0
945,644796E-6;2,683472E+0
1,045111E-3;2,692702E+0
1,159781E-3;2,702770E+0
1,241714E-3;2,709738E+0
1,349853E-3;2,718651E+0
1,441325E-3;2,725903E+0
1,615091E-3;2,738993E+0
1,695003E-3;2,744887E+0
1,794037E-3;2,751873E+0
1,900936E-3;2,759365E+0
2,007029E-3;2,766501E+0
2,088218E-3;2,771794E+0
2,188378E-3;2,778363E+0
2,284607E-3;2,784308E+0
2,387206E-3;2,790809E+0
2,467891E-3;2,795647E+0
2,564449E-3;2,801275E+0
2,679773E-3;2,808168E+0
2,787550E-3;2,814375E+0
2,871577E-3;2,819085E+0
2,974247E-3;2,824821E+0
3,072294E-3;2,830079E+0
3,178328E-3;2,835826E+0
3,257237E-3;2,839957E+0
3,357580E-3;2,845130E+0
3,465324E-3;2,850653E+0
3,572821E-3;2,856062E+0
3,655272E-3;2,860149E+0
3,757057E-3;2,865086E+0
3,853111E-3;2,869763E+0
3,956556E-3;2,874570E+0
4,037650E-3;2,878314E+0
4,134505E-3;2,882903E+0
4,248125E-3;2,887966E+0
4,354606E-3;2,892807E+0
4,437216E-3;2,896414E+0
4,568476E-3;2,902221E+0
4,679724E-3;2,906825E+0
4,755971E-3;2,910239E+0
4,861317E-3;2,914552E+0
4,957046E-3;2,918451E+0
5,067404E-3;2,923036E+0
5,147192E-3;2,926156E+0
5,252266E-3;2,930229E+0
5,341486E-3;2,933618E+0
5,450726E-3;2,938089E+0
5,526704E-3;2,940783E+0
5,629528E-3;2,944769E+0
5,728194E-3;2,948412E+0
5,843592E-3;2,952756E+0
5,924576E-3;2,955680E+0
6,034508E-3;2,959598E+0
6,126240E-3;2,962814E+0
6,238151E-3;2,966797E+0
6,317718E-3;2,969491E+0
6,423197E-3;2,973268E+0
6,519870E-3;2,976485E+0
6,631817E-3;2,980148E+0
6,713209E-3;2,982814E+0
6,821254E-3;2,986363E+0
6,911401E-3;2,989294E+0
7,020751E-3;2,992909E+0
7,099136E-3;2,995200E+0
7,203053E-3;2,998435E+0
7,306238E-3;3,001626E+0
7,419775E-3;3,005119E+0
7,501191E-3;3,007423E+0
7,671107E-3;3,012788E+0
7,768422E-3;3,015623E+0
7,872984E-3;3,018652E+0
7,954133E-3;3,020891E+0
8,053979E-3;3,023781E+0
8,161924E-3;3,026710E+0
8,268661E-3;3,029821E+0
8,350559E-3;3,031901E+0
8,451748E-3;3,034788E+0
8,547819E-3;3,037248E+0
8,651228E-3;3,039977E+0
8,730690E-3;3,042089E+0
8,826961E-3;3,044477E+0
8,942589E-3;3,047635E+0
9,051438E-3;3,050328E+0
9,135743E-3;3,052401E+0
9,238566E-3;3,055031E+0
9,338480E-3;3,057453E+0
9,442067E-3;3,060100E+0
9,525674E-3;3,062080E+0
9,624255E-3;3,064471E+0
9,732987E-3;3,066972E+0
9,839902E-3;3,069535E+0
9,921372E-3;3,071325E+0
10,024149E-3;3,073778E+0
10,119312E-3;3,076048E+0
10,222274E-3;3,078241E+0
10,303031E-3;3,080034E+0
10,401791E-3;3,082197E+0
10,514953E-3;3,084791E+0
10,620779E-3;3,087161E+0
10,745522E-3;3,090014E+0
10,836123E-3;3,091790E+0
10,946469E-3;3,094180E+0
11,024447E-3;3,095715E+0
11,130461E-3;3,097904E+0
11,226030E-3;3,099820E+0
11,338308E-3;3,102167E+0
11,416361E-3;3,103669E+0
11,522248E-3;3,105892E+0
11,611427E-3;3,107498E+0
11,720059E-3;3,109783E+0
11,796122E-3;3,111147E+0
11,899563E-3;3,113190E+0
11,996668E-3;3,115018E+0
12,110732E-3;3,117274E+0
12,191540E-3;3,118667E+0
12,301803E-3;3,120797E+0
12,391930E-3;3,122505E+0
12,506008E-3;3,124540E+0
12,583964E-3;3,125916E+0
12,688209E-3;3,127746E+0
12,784535E-3;3,129521E+0
12,898185E-3;3,131688E+0
12,979949E-3;3,132945E+0
13,086677E-3;3,134968E+0
13,177048E-3;3,136375E+0
13,286366E-3;3,138376E+0
13,363555E-3;3,139547E+0
13,468687E-3;3,141409E+0
13,570431E-3;3,143121E+0
13,749329E-3;3,146271E+0
13,832063E-3;3,147630E+0
13,935335E-3;3,149290E+0
14,031769E-3;3,150791E+0
14,137762E-3;3,152616E+0
14,217679E-3;3,153842E+0
14,316444E-3;3,155368E+0
14,423838E-3;3,157082E+0
14,530241E-3;3,158705E+0
14,612347E-3;3,159892E+0
14,713394E-3;3,161515E+0
14,810560E-3;3,162913E+0
14,913348E-3;3,164462E+0
14,991845E-3;3,165666E+0
15,088704E-3;3,167031E+0
15,205118E-3;3,168792E+0
15,313665E-3;3,170463E+0
15,397727E-3;3,171629E+0
15,499989E-3;3,173153E+0
15,599066E-3;3,174608E+0
15,703983E-3;3,175946E+0
15,785249E-3;3,176965E+0
15,885004E-3;3,178325E+0
15,990397E-3;3,179947E+0
16,097187E-3;3,181428E+0
16,180785E-3;3,182472E+0
16,283578E-3;3,183871E+0
16,379952E-3;3,185240E+0
16,482983E-3;3,186657E+0
16,563487E-3;3,187642E+0
16,701772E-3;3,189593E+0
16,816870E-3;3,191078E+0
16,895640E-3;3,192030E+0
17,003708E-3;3,193526E+0
17,094166E-3;3,194599E+0
17,206100E-3;3,196030E+0
17,281766E-3;3,196946E+0
17,387003E-3;3,198391E+0
17,482505E-3;3,199520E+0
17,595705E-3;3,201013E+0
17,674911E-3;3,201904E+0
17,782157E-3;3,203234E+0
17,870170E-3;3,204340E+0
17,978440E-3;3,205705E+0
18,054605E-3;3,206549E+0
18,156860E-3;3,207703E+0
18,262693E-3;3,209039E+0
18,378196E-3;3,210485E+0
18,459578E-3;3,211466E+0
18,569550E-3;3,212709E+0
18,659126E-3;3,213824E+0
18,774969E-3;3,215095E+0
18,849543E-3;3,215907E+0
18,957820E-3;3,217201E+0
19,056019E-3;3,218364E+0
19,170131E-3;3,219665E+0
19,249390E-3;3,220490E+0
19,356858E-3;3,221758E+0
19,447459E-3;3,222644E+0
19,557389E-3;3,223947E+0
19,635158E-3;3,224685E+0
19,801318E-3;3,226694E+0
19,913547E-3;3,228036E+0
