;U;I
221;0,824354191;0,014216978
222;0,824491748;0,014295269
223;0,824674408;0,01439597
224;0,8248713;0,014501697
225;0,825057292;0,014608759
226;0,825206521;0,014691615
227;0,825374086;0,014790899
228;0,825551398;0,014888849
229;0,82572629;0,014991892
230;0,825863712;0,015070848
231;0,826034125;0,015168679
232;0,826228663;0,015283407
233;0,8264147;0,01539163
234;0,826551042;0,015475388
235;0,826716218;0,01557862
236;0,826879288;0,015677664
237;0,827057136;0,015784478
238;0,827170697;0,015864833
239;0,827336658;0,015963348
240;0,827512464;0,016072687
241;0,827681099;0,016178667
242;0,827799494;0,016260133
243;0,827958794;0,016362385
244;0,828110647;0,016458835
245;0,828280157;0,016562812
246;0,828391546;0,016640881
247;0,828611757;0,016781642
248;0,828786989;0,016895439
249;0,828899249;0,016977277
250;0,829059011;0,017084495
251;0,829192769;0,017175811
252;0,829349995;0,017285444
253;0,829455528;0,017364829
254;0,829602893;0,017467368
255;0,829729355;0,017563991
256;0,82989551;0,017675839
257;0,830002675;0,017755936
258;0,830157859;0,017862242
259;0,830266561;0,017952215
260;0,830495629;0,018060367
261;0,830568971;0,018134984
262;0,8307101;0,018238053
263;0,830845238;0,018343752
264;0,831005045;0,018459187
265;0,83109085;0,018540058
266;0,831248423;0,018649317
267;0,831366979;0,018741419
268;0,831516253;0,018853291
269;0,831601486;0,018933367
270;0,831745867;0,019039167
271;0,831872403;0,019136971
272;0,832011756;0,019251828
273;0,83211419;0,019331815
274;0,832244144;0,019439169
275;0,83236483;0,019530752
276;0,832497904;0,019640338
277;0,832589215;0,019718001
278;0,83281257;0,019882923
279;0,832958305;0,01999625
