t;v
-0,00295600;0,54078800
-0,00167600;0,36133920
-0,00039600;0,09277627
0,00088400;-0,17639700
0,00216400;-0,35554060
0,00344400;-0,62471390
0,00472400;-0,80385760
0,00600400;-0,98330630
0,00728400;-1,07272600
0,00856400;-1,25217400
0,00984400;-1,34189900
0,01112400;-1,43162300
0,01240400;-1,52104200
0,01368400;-1,52104200
0,01496400;-1,61076700
0,01624400;-1,61076700
0,01752400;-1,61076700
0,01880400;-1,61076700
0,02008400;-1,61076700
0,02136400;-1,61076700
0,02264400;-1,52104200
0,02392400;-1,52104200
0,02520400;-1,43162300
0,02648400;-1,34189900
0,02776400;-1,25217400
0,02904400;-1,16245000
0,03032400;-1,07272600
0,03160400;-0,98330630
0,03288400;-0,89358200
0,03416400;-0,80385760
0,03544400;-0,80385760
0,03672400;-0,62471390
0,03800400;-0,53498950
0,03928400;-0,44526510
0,04056400;-0,35554060
0,04184400;-0,35554060
0,04312400;-0,26581620
0,04440400;-0,26581620
0,04568400;-0,17639700
0,04696400;-0,17639700
0,04824400;-0,08667257
0,04952400;-0,17639700
0,05080400;-0,17639700
0,05208400;-0,17639700
0,05336400;-0,17639700
0,05464400;-0,26581620
0,05592400;-0,26581620
0,05720400;-0,35554060
0,05848400;-0,44526510
0,05976400;-0,62471390
0,06104400;-0,71413310
0,06232400;-0,80385760
0,06360400;-0,98330630
0,06488400;-1,16245000
0,06616400;-1,25217400
0,06744400;-1,43162300
0,06872400;-1,61076700
0,07000400;-1,79021600
0,07128400;-1,96935900
0,07256400;-2,23853300
0,07384400;-2,32795200
0,07512400;-2,50740100
0,07640400;-2,77626900
0,07768400;-2,95571800
0,07896400;-3,04544200
0,08024400;-3,22458600
0,08152400;-3,49375900
0,08280400;-3,58317800
0,08408400;-3,76262700
0,08536400;-3,85235100
0,08664400;-3,94177100
0,08792400;-4,03149500
0,08920400;-4,21094400
0,09048400;-4,30066800
0,09176400;-4,30066800
0,09304400;-4,39008800
0,09432400;-4,39008800
0,09560400;-4,30066800
0,09688400;-4,39008800
0,09816400;-4,30066800
0,09944400;-4,21094400
0,10072400;-4,12122000
0,10200400;-4,03149500
0,10328400;-3,94177100
0,10456400;-3,76262700
0,10584400;-3,58317800
0,10712400;-3,40403500
0,10840400;-3,13486100
0,10968400;-2,86599300
0,11096400;-2,59712500
0,11224400;-2,32795200
0,11352400;-2,05908400
0,11480400;-1,70049100
0,11608400;-1,34189900
0,11736400;-0,98330630
0,11864400;-0,62471390
0,11992400;-0,35554060
0,12120400;0,09277627
0,12248400;0,45106360
0,12376400;0,89938040
0,12504400;1,25797300
0,12632400;1,70629000
0,12760400;2,06488200
0,12888400;2,51319900
0,13016400;2,87179200
0,13144400;3,23038400
0,13272400;3,67870100
0,13400400;3,94756900
0,13528400;4,39588600
0,13656400;4,66506000
0,13784400;5,02365200
0,13912400;5,38224400
0,14040400;5,65111300
0,14168400;5,92028600
0,14296400;6,18915400
0,14424400;6,45802200
0,14552400;6,63747100
0,14680400;6,81661400
0,14808400;6,90633900
0,14936400;7,08578700
0,15064400;7,17520700
0,15192400;7,17520700
0,15320400;7,26493100
0,15448400;7,26493100
0,15576400;7,26493100
0,15704400;7,17520700
0,15832400;7,08578700
0,15960400;6,99606300
0,16088400;6,81661400
0,16216400;6,63747100
0,16344400;6,45802200
0,16472400;6,27887800
0,16600400;6,00970500
0,16728400;5,65111300
0,16856400;5,38224400
0,16984400;5,02365200
0,17112400;4,66506000
0,17240400;4,30616200
0,17368400;3,94756900
0,17496400;3,49925200
0,17624400;3,14066000
0,17752400;2,69234300
0,17880400;2,24402600
0,18008400;1,79601400
0,18136400;1,25797300
0,18264400;0,80965610
0,18392400;0,36133920
0,18520400;-0,08667257
0,18648400;-0,53498950
0,18776400;-0,98330630
0,18904400;-1,52104200
0,19032400;-1,87963500
0,19160400;-2,32795200
0,19288400;-2,77626900
0,19416400;-3,13486100
0,19544400;-3,58317800
0,19672400;-3,94177100
0,19800400;-4,30066800
0,19928400;-4,56953600
0,20056400;-4,92812900
0,20184400;-5,19699700
0,20312400;-5,46617000
0,20440400;-5,73503800
0,20568400;-5,91448700
0,20696400;-6,09363100
0,20824400;-6,27307900
0,20952400;-6,36280400
0,21080400;-6,45222300
0,21208400;-6,54194800
0,21336400;-6,63167200
0,21464400;-6,63167200
0,21592400;-6,63167200
0,21720400;-6,54194800
0,21848400;-6,54194800
0,21976400;-6,45222300
0,22104400;-6,36280400
0,22232400;-6,18335500
0,22360400;-6,00390600
0,22488400;-5,82476300
0,22616400;-5,64531400
