t;v
-0,00319800;0,98910490
-0,00191800;0,63020720
-0,00063800;0,27161470
0,00064200;-0,17639700
0,00192200;-0,53498950
0,00320200;-0,98330630
0,00448200;-1,34189900
0,00576200;-1,70049100
0,00704200;-1,96935900
0,00832200;-2,32795200
0,00960200;-2,59712500
0,01088200;-2,95571800
0,01216200;-3,22458600
0,01344200;-3,40403500
0,01472200;-3,67290300
0,01600200;-3,85235100
0,01728200;-4,03149500
0,01856200;-4,21094400
0,01984200;-4,47981200
0,02112200;-4,56953600
0,02240200;-4,65926100
0,02368200;-4,74868000
0,02496200;-4,83840500
0,02624200;-4,83840500
0,02752200;-4,83840500
0,02880200;-4,92812900
0,03008200;-4,83840500
0,03136200;-4,83840500
0,03264200;-4,74868000
0,03392200;-4,74868000
0,03520200;-4,65926100
0,03648200;-4,56953600
0,03776200;-4,39008800
0,03904200;-4,30066800
0,04032200;-4,12122000
0,04160200;-3,94177100
0,04288200;-3,85235100
0,04416200;-3,67290300
0,04544200;-3,49375900
0,04672200;-3,22458600
0,04800200;-3,04544200
0,04928200;-2,86599300
0,05056200;-2,68685000
0,05184200;-2,41767600
0,05312200;-2,23853300
0,05440200;-1,96935900
0,05568200;-1,79021600
0,05696200;-1,61076700
0,05824200;-1,43162300
0,05952200;-1,16245000
0,06080200;-0,98330630
0,06208200;-0,80385760
0,06336200;-0,53498950
0,06464200;-0,35554060
0,06592200;-0,17639700
0,06720200;-0,08667257
0,06848200;0,09277627
0,06976200;0,27161470
0,07104200;0,36133920
0,07232200;0,54078800
0,07360200;0,63020720
0,07488200;0,71993170
0,07616200;0,89938040
0,07744200;0,89938040
0,07872200;0,98910490
0,08000200;1,07852400
0,08128200;1,07852400
0,08256200;1,16824900
0,08384200;1,16824900
0,08512200;1,16824900
0,08640200;1,25797300
0,08768200;1,25797300
0,08896200;1,16824900
0,09024200;1,16824900
0,09152200;1,16824900
0,09280200;1,16824900
0,09408200;1,07852400
0,09536200;1,07852400
0,09664200;1,07852400
0,09792200;0,98910490
0,09920200;0,98910490
0,10048200;0,89938040
0,10176200;0,89938040
0,10304200;0,80965610
0,10432200;0,71993170
0,10560200;0,63020720
0,10688200;0,63020720
0,10816200;0,54078800
0,10944200;0,54078800
0,11072200;0,54078800
0,11200200;0,45106360
0,11328200;0,45106360
0,11456200;0,36133920
0,11584200;0,36133920
0,11712200;0,36133920
0,11840200;0,36133920
0,11968200;0,36133920
0,12096200;0,36133920
0,12224200;0,36133920
0,12352200;0,36133920
0,12480200;0,45106360
0,12608200;0,45106360
0,12736200;0,45106360
0,12864200;0,54078800
0,12992200;0,63020720
0,13120200;0,63020720
0,13248200;0,71993170
0,13376200;0,80965610
0,13504200;0,89938040
0,13632200;0,98910490
0,13760200;1,07852400
0,13888200;1,16824900
